category,method,test_images,anomaly_images,regions,aupro_0_05,pixel_auroc,image_auroc
grid,global_448,78,57,170,0.8791143724490277,0.9950506813080716,1.0
grid,tiled_672,78,57,170,0.9062432816942432,0.9956995112961914,1.0
grid,raw_mean,78,57,170,0.8993090890958553,0.9956938758659741,1.0
grid,q99_mean,78,57,170,0.8982705529490925,0.9956669479785459,1.0
capsule,global_448,132,109,114,0.9224623880327018,0.9892428112847497,0.9928201037096132
capsule,tiled_672,132,109,114,0.9242826680781642,0.9467710843069475,0.9776625448743518
capsule,raw_mean,132,109,114,0.9291997233639817,0.9807894658957877,0.9788591942560829
capsule,q99_mean,132,109,114,0.928765030449121,0.9826141308927019,0.9792580773833267
transistor,global_448,100,40,44,0.6125048436592497,0.9404824122083888,0.98625
transistor,tiled_672,100,40,44,0.6068380687444493,0.9380256498601581,0.9954166666666667
transistor,raw_mean,100,40,44,0.6221419719135237,0.9444841046933546,0.99125
transistor,q99_mean,100,40,44,0.6222412171467672,0.9445250910142271,0.99125
zipper,global_448,151,119,177,0.7846392395076952,0.9713911918903387,0.9963235294117647
zipper,tiled_672,151,119,177,0.8545932786704211,0.9841466798450118,0.998686974789916
zipper,raw_mean,151,119,177,0.8446001504919252,0.9841357451696272,0.9971113445378151
zipper,q99_mean,151,119,177,0.835310827085436,0.9828465801208093,0.9971113445378151
carpet,global_448,117,89,97,0.8957663870323935,0.9935191151188163,0.9995987158908507
carpet,tiled_672,117,89,97,0.9013153311718817,0.9934422909062227,0.9995987158908507
carpet,raw_mean,117,89,97,0.9049267736458375,0.9940431326610956,1.0
carpet,q99_mean,117,89,97,0.9043718018285104,0.9940244381455985,1.0
leather,global_448,124,92,99,0.9039999341392113,0.9924014724026986,1.0
leather,tiled_672,124,92,99,0.9173260785128736,0.9918527357980118,1.0
leather,raw_mean,124,92,99,0.9153377439758328,0.9926139770461893,1.0
leather,q99_mean,124,92,99,0.9147694532721921,0.9926238022330445,1.0
tile,global_448,117,84,86,0.5885159995881963,0.9686239889864443,1.0
tile,tiled_672,117,84,86,0.6120146970011288,0.966792929846698,1.0
tile,raw_mean,117,84,86,0.6052060357379383,0.9696602565821353,1.0
tile,q99_mean,117,84,86,0.6044608004207899,0.9696867665571808,1.0
wood,global_448,79,60,168,0.8153023373357454,0.9575283668105625,0.9947368421052633
wood,tiled_672,79,60,168,0.8263859486830144,0.9565154588461566,0.9964912280701755
wood,raw_mean,79,60,168,0.8279905581106978,0.9597728261921556,0.9964912280701755
wood,q99_mean,79,60,168,0.8278320170242705,0.9597793959534648,0.9964912280701755
bottle,global_448,83,63,68,0.8787874330612924,0.991434346274016,1.0
bottle,tiled_672,83,63,68,0.8920866581396849,0.9911242310290007,1.0
bottle,raw_mean,83,63,68,0.8933779346835138,0.9920686425454851,1.0
bottle,q99_mean,83,63,68,0.8927881615036678,0.9920657862934591,1.0
hazelnut,global_448,110,70,136,0.8957733607918957,0.9932017589956572,1.0
hazelnut,tiled_672,110,70,136,0.9148608768897918,0.9820650945474805,1.0
hazelnut,raw_mean,110,70,136,0.9116623210882235,0.9921491821162205,1.0
hazelnut,q99_mean,110,70,136,0.911504177994137,0.9922326872315401,1.0
metal_nut,global_448,115,93,132,0.8612529410884834,0.9844331628522983,1.0
metal_nut,tiled_672,115,93,132,0.868911371620464,0.980453868469532,1.0
metal_nut,raw_mean,115,93,132,0.8747908061246947,0.983595655974915,1.0
metal_nut,q99_mean,115,93,132,0.8744626434739841,0.983716789462338,1.0
pill,global_448,167,141,245,0.8984233654947789,0.956964865247327,0.9942716857610475
pill,tiled_672,167,141,245,0.9057398724280675,0.9538449198126985,0.9907255864702673
pill,raw_mean,167,141,245,0.9104113279600169,0.958709595396011,0.9948172394980905
pill,q99_mean,167,141,245,0.9102993773761461,0.958743689156893,0.9948172394980905
screw,global_448,160,119,135,0.8994255857557892,0.9918571246849452,0.9510145521623283
screw,tiled_672,160,119,135,0.8783276367717446,0.9875231665374684,0.9374871899979503
screw,raw_mean,160,119,135,0.8980623804669102,0.9905275902821975,0.9508095921295348
screw,q99_mean,160,119,135,0.8989292338908879,0.9907017281497372,0.9508095921295348
toothbrush,global_448,42,30,66,0.8504489642730719,0.9912534582764183,1.0
toothbrush,tiled_672,42,30,66,0.8649376604142347,0.9909128047847788,1.0
toothbrush,raw_mean,42,30,66,0.877063243561771,0.9922892924730742,1.0
toothbrush,q99_mean,42,30,66,0.8748471092425992,0.992236053568832,1.0
