method,n,normal,anomaly,auroc,ap
D_raw,150,60,90,0.8448148148148148,0.9188121337200278
M_global,150,60,90,0.7848148148148149,0.8404796945166793
M_tight_top1,150,60,90,0.7242592592592593,0.8111695251269337
M_context_top1,150,60,90,0.7735185185185185,0.8235779532716956
M_context_top3max,150,60,90,0.6909259259259259,0.7361277618523473
D_z,150,60,90,0.8448148148148148,0.9188121337200278
M_context_top1_z,150,60,90,0.7735185185185185,0.8235779532716956
naive_context_top1,150,60,90,0.8718518518518518,0.9197151516803623
naive_context_top3max,150,60,90,0.8438888888888889,0.9093040894489058
