method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
D512_z,D256_z,0.05821903190319033,0.04810520769278676,0.06838026804632061,12,12,2000
geometry512,logistic_geometry,0.04801149614961495,0.037991829682207726,0.05829336335186077,11,12,2000
geometry_conditional,geometry_multiscale,-0.00024078657865786587,-0.001814818409006289,0.001344260147761326,7,12,2000
geometry_conditional,geometry_unconditional,-0.0017288503850385042,-0.0035948520321734704,0.0001322400740980203,2,12,2000
geometry_conditional,geometry_shuffled,0.0007615786578657864,-0.0010169361080720083,0.0025788667842243625,9,12,2000
