category,epoch,loss,bce,dice,identity,residual_l1,normal_fp
leather,1,1.669656753540039,0.3209046721458435,0.8969976902008057,0.0,0.0,0.45175427198410034
leather,20,1.6636476516723633,0.31627506017684937,0.8972947001457214,5.649512331729056e-06,0.0016579370712861419,0.4484085440635681
leather,40,1.658552885055542,0.31322306394577026,0.8975855112075806,2.1335852579795755e-05,0.002979901386424899,0.44472184777259827
leather,60,1.6537858247756958,0.3101174235343933,0.8980245590209961,4.761731543112546e-05,0.0042779953218996525,0.4412705600261688
leather,80,1.6493778228759766,0.3073577284812927,0.8983123898506165,8.090397750493139e-05,0.00553694274276495,0.43800902366638184
leather,100,1.6450515985488892,0.30470365285873413,0.89854896068573,0.0001221965649165213,0.0068015530705451965,0.43475309014320374
leather,120,1.6407079696655273,0.30215543508529663,0.8986721634864807,0.00017126341117545962,0.008105301298201084,0.4314326047897339
leather,140,1.6363446712493896,0.29960277676582336,0.8987956047058105,0.0002298662147950381,0.009427348151803017,0.42805925011634827
leather,160,1.6319758892059326,0.29712241888046265,0.8988301753997803,0.0002969902125187218,0.010775106959044933,0.42465418577194214
leather,180,1.6275948286056519,0.29466813802719116,0.8988569378852844,0.00037393238744698465,0.012128694914281368,0.42119309306144714
leather,200,1.6231706142425537,0.29232800006866455,0.8987852931022644,0.00046027678763493896,0.013482028618454933,0.4176548421382904
