method,n,normal,anomaly,auroc,ap
D_raw,150,60,90,0.46518518518518515,0.5707241422253511
M_global,150,60,90,0.3453703703703703,0.5182467532613045
M_tight_top1,150,60,90,0.597962962962963,0.7201905132208426
M_context_top1,150,60,90,0.5551851851851852,0.6315398860949617
M_context_top3max,150,60,90,0.5533333333333333,0.6822105181683555
D_z,150,60,90,0.46518518518518515,0.5707241422253511
M_context_top1_z,150,60,90,0.5551851851851852,0.6315398860949617
naive_context_top1,150,60,90,0.5085185185185186,0.5906105361579798
naive_context_top3max,150,60,90,0.5074074074074074,0.5916359769530355
