check,wins,total_protocols,win_rate,mean_delta,median_delta,min_delta,max_delta
V5 > V3 naive fusion,12,12,1.0,0.02712115962115964,0.022364864864864942,0.009793832293832239,0.05362699237699231
V5 > V4 quality-only,6,12,0.5,-0.009363594363594388,-0.0038457207207207023,-0.033379244629244686,0.006362612612612728
V5 > V0 detector-only,9,12,0.75,0.03337729556479561,0.04637690575190573,-0.03286209286209285,0.08866510741510758
V5 > V2 crop-VLM-only,12,12,1.0,0.1791057764495265,0.1274109927234927,0.05723925848925859,0.35410472972972973
V4 > V3 naive fusion,12,12,1.0,0.03648475398475403,0.02476437976437984,0.007897609147609064,0.08079261954261963
V5 > V3 naive fusion by eval_mode=crop_or_full,4,4,1.0,0.018884918572418558,0.01898085585585585,0.01281011781011776,0.02476784476784477
V5 > V4 quality-only by eval_mode=crop_or_full,3,4,0.75,-0.0008785949410950178,0.001208419958419804,-0.009746188496188468,0.003814968814968789
V5 > V3 naive fusion by eval_mode=crop_topk_ensemble,4,4,1.0,0.014929400554400618,0.013849185724185809,0.009793832293832239,0.022225398475398617
V5 > V4 quality-only by eval_mode=crop_topk_ensemble,3,4,0.75,0.0004526160776161525,0.002030925155925234,-0.008613998613998586,0.006362612612612728
V5 > V3 naive fusion by eval_mode=full_all,4,4,1.0,0.04754915973665974,0.048026680526680576,0.0405162855162855,0.05362699237699231
V5 > V4 quality-only by eval_mode=full_all,0,4,0.0,-0.0276648042273043,-0.028803707553707647,-0.033379244629244686,-0.019672557172557226
