category,num_images,patchcore_component_f1_mean,sam2_box_sam_score_f1_mean,sam2_box_anomaly_select_f1_mean,sam2_box_point_anomaly_select_f1_mean,patchcore_component_iou_mean,sam2_box_sam_score_iou_mean,sam2_box_anomaly_select_iou_mean,sam2_box_point_anomaly_select_iou_mean,result_csv
grid,28,0.4588086563131384,0.4339743879952543,0.43526707408230914,0.43823538569025094,0.31806061505737293,0.3046553699666465,0.30498663222831723,0.30165685383701596,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/anomaly_aware_sam2_results.csv
screw,60,0.39627367059606594,0.37738286735832016,0.37797106216128007,0.38032083408322187,0.2830403284736304,0.26639990006170294,0.26685122556959595,0.26946238952229135,results/analysis/sam2_anomaly_aware_selection/MVTecAD/screw/anomaly_aware_sam2/anomaly_aware_sam2_results.csv
leather,46,0.5047343378898085,0.5075991436519041,0.508787182421741,0.5020555577419762,0.3468013448529059,0.3517433533538045,0.3535426684894909,0.3470901634573261,results/analysis/sam2_anomaly_aware_selection/MVTecAD/leather/anomaly_aware_sam2/anomaly_aware_sam2_results.csv
wood,30,0.4030241343756312,0.3574440503392211,0.3607750572400418,0.3586467912688527,0.27479659294959674,0.23977587910535855,0.241966661065985,0.23919362135930597,results/analysis/sam2_anomaly_aware_selection/MVTecAD/wood/anomaly_aware_sam2/anomaly_aware_sam2_results.csv
