category,image_id,caliper,positive_count,matched_count,coverage,median_nearest_distance,unique_negatives,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
candle,02bd8d596731ab3417010866,0.01,32,1,0.03125,0.9331668615341187,1,0.0,0.0,1.0
candle,02bd8d596731ab3417010866,0.05,32,4,0.125,0.9331668615341187,3,0.25,0.75,1.0
candle,02bd8d596731ab3417010866,0.1,32,8,0.25,0.9331668615341187,5,0.375,0.625,0.875
candle,0337f49d30789e965adb6aa3,0.01,32,5,0.15625,0.04578655958175659,5,0.0,0.4000000059604645,0.800000011920929
candle,0337f49d30789e965adb6aa3,0.05,32,18,0.5625,0.04578655958175659,7,0.6111111111111112,0.5555555820465088,0.9444444179534912
candle,0337f49d30789e965adb6aa3,0.1,32,26,0.8125,0.04578655958175659,7,0.7307692307692308,0.6538461446762085,0.9615384340286255
candle,04c7bc4c4d076ed304e64942,0.01,32,0,0.0,1.8198165893554688,0,,,
candle,04c7bc4c4d076ed304e64942,0.05,32,4,0.125,1.8198165893554688,4,0.0,0.75,0.75
candle,04c7bc4c4d076ed304e64942,0.1,32,8,0.25,1.8198165893554688,7,0.125,0.625,0.875
candle,127520589c1faaae9b19ec3c,0.01,32,3,0.09375,0.2327919602394104,3,0.0,0.3333333432674408,1.0
candle,127520589c1faaae9b19ec3c,0.05,32,6,0.1875,0.2327919602394104,4,0.33333333333333337,0.3333333432674408,1.0
candle,127520589c1faaae9b19ec3c,0.1,32,10,0.3125,0.2327919602394104,6,0.4,0.4000000059604645,1.0
candle,1465cbb36ac902b4140e4c1d,0.01,32,0,0.0,0.6960419416427612,0,,,
candle,1465cbb36ac902b4140e4c1d,0.05,32,0,0.0,0.6960419416427612,0,,,
candle,1465cbb36ac902b4140e4c1d,0.1,32,0,0.0,0.6960419416427612,0,,,
candle,15d1b4999c94ed929aba6f73,0.01,32,1,0.03125,0.7820765972137451,1,0.0,0.0,1.0
candle,15d1b4999c94ed929aba6f73,0.05,32,5,0.15625,0.7820765972137451,2,0.6,0.4000000059604645,1.0
candle,15d1b4999c94ed929aba6f73,0.1,32,6,0.1875,0.7820765972137451,2,0.6666666666666667,0.5,1.0
candle,16371c78eea616c440a3b728,0.01,32,4,0.125,0.28986671566963196,4,0.0,0.5,1.0
candle,16371c78eea616c440a3b728,0.05,32,8,0.25,0.28986671566963196,7,0.125,0.375,1.0
candle,16371c78eea616c440a3b728,0.1,32,11,0.34375,0.28986671566963196,9,0.18181818181818177,0.3636363744735718,0.9090909361839294
candle,164a61895f124d74a7c4405b,0.01,32,0,0.0,0.5452771186828613,0,,,
candle,164a61895f124d74a7c4405b,0.05,32,1,0.03125,0.5452771186828613,1,0.0,1.0,1.0
candle,164a61895f124d74a7c4405b,0.1,32,2,0.0625,0.5452771186828613,2,0.0,0.5,0.5
candle,1957eccd65cb87cda25c940f,0.01,32,4,0.125,0.30561280250549316,4,0.0,0.25,0.75
candle,1957eccd65cb87cda25c940f,0.05,32,9,0.28125,0.30561280250549316,9,0.0,0.4444444477558136,0.8888888955116272
candle,1957eccd65cb87cda25c940f,0.1,32,9,0.28125,0.30561280250549316,9,0.0,0.4444444477558136,0.8888888955116272
candle,1ba5359ad13a8a9089d50cb2,0.01,32,2,0.0625,0.21171259880065918,2,0.0,0.0,1.0
candle,1ba5359ad13a8a9089d50cb2,0.05,32,5,0.15625,0.21171259880065918,5,0.0,0.20000000298023224,1.0
candle,1ba5359ad13a8a9089d50cb2,0.1,32,8,0.25,0.21171259880065918,5,0.375,0.5,1.0
candle,23e908cb5ae2243950b9b570,0.01,32,1,0.03125,0.9362114667892456,1,0.0,1.0,1.0
candle,23e908cb5ae2243950b9b570,0.05,32,3,0.09375,0.9362114667892456,2,0.33333333333333337,0.6666666865348816,1.0
candle,23e908cb5ae2243950b9b570,0.1,32,5,0.15625,0.9362114667892456,3,0.4,0.6000000238418579,1.0
candle,25f27de6af83355048803af0,0.01,32,2,0.0625,1.2828845977783203,2,0.0,0.5,1.0
candle,25f27de6af83355048803af0,0.05,32,4,0.125,1.2828845977783203,3,0.25,0.75,1.0
candle,25f27de6af83355048803af0,0.1,32,6,0.1875,1.2828845977783203,4,0.33333333333333337,0.8333333134651184,1.0
candle,2848f0f0cce91ec34d541f46,0.01,32,7,0.21875,0.05418461561203003,7,0.0,0.5714285969734192,1.0
candle,2848f0f0cce91ec34d541f46,0.05,32,16,0.5,0.05418461561203003,12,0.25,0.4375,1.0
candle,2848f0f0cce91ec34d541f46,0.1,32,21,0.65625,0.05418461561203003,15,0.2857142857142857,0.523809552192688,1.0
candle,28858dc685de10032ea5c704,0.01,32,3,0.09375,0.08321712911128998,3,0.0,1.0,0.6666666865348816
candle,28858dc685de10032ea5c704,0.05,32,12,0.375,0.08321712911128998,7,0.41666666666666663,0.75,0.9166666865348816
candle,28858dc685de10032ea5c704,0.1,32,19,0.59375,0.08321712911128998,10,0.4736842105263158,0.5789473652839661,0.9473684430122375
candle,2ae17c08f2618611a574a091,0.01,32,2,0.0625,1.5879099369049072,2,0.0,1.0,1.0
candle,2ae17c08f2618611a574a091,0.05,32,4,0.125,1.5879099369049072,4,0.0,0.75,1.0
candle,2ae17c08f2618611a574a091,0.1,32,6,0.1875,1.5879099369049072,5,0.16666666666666663,0.6666666865348816,1.0
candle,2b6509024bae3e6bccca7363,0.01,21,7,0.3333333333333333,0.016589879989624023,6,0.1428571428571429,0.2857142984867096,1.0
candle,2b6509024bae3e6bccca7363,0.05,21,18,0.8571428571428571,0.016589879989624023,9,0.5,0.3333333432674408,1.0
candle,2b6509024bae3e6bccca7363,0.1,21,20,0.9523809523809523,0.016589879989624023,10,0.5,0.4000000059604645,1.0
candle,2b7947bcdf5eb1937e18cad7,0.01,9,0,0.0,0.8372077941894531,0,,,
candle,2b7947bcdf5eb1937e18cad7,0.05,9,0,0.0,0.8372077941894531,0,,,
candle,2b7947bcdf5eb1937e18cad7,0.1,9,0,0.0,0.8372077941894531,0,,,
candle,2c0793530b61ae702a523af3,0.01,32,6,0.1875,0.026765376329421997,5,0.16666666666666663,0.1666666716337204,1.0
candle,2c0793530b61ae702a523af3,0.05,32,21,0.65625,0.026765376329421997,12,0.4285714285714286,0.380952388048172,1.0
candle,2c0793530b61ae702a523af3,0.1,32,25,0.78125,0.026765376329421997,12,0.52,0.4000000059604645,1.0
candle,2cfa0214b5f2d2f4cb9d4013,0.01,22,0,0.0,1.2621427774429321,0,,,
candle,2cfa0214b5f2d2f4cb9d4013,0.05,22,0,0.0,1.2621427774429321,0,,,
candle,2cfa0214b5f2d2f4cb9d4013,0.1,22,0,0.0,1.2621427774429321,0,,,
candle,2fbf2833d60163d0ef245a37,0.01,32,1,0.03125,1.5947394371032715,1,0.0,1.0,1.0
candle,2fbf2833d60163d0ef245a37,0.05,32,2,0.0625,1.5947394371032715,2,0.0,0.5,1.0
candle,2fbf2833d60163d0ef245a37,0.1,32,7,0.21875,1.5947394371032715,4,0.4285714285714286,0.8571428656578064,1.0
candle,311730124e71844f46e71f0e,0.01,32,0,0.0,3.0300395488739014,0,,,
candle,311730124e71844f46e71f0e,0.05,32,2,0.0625,3.0300395488739014,2,0.0,0.0,1.0
candle,311730124e71844f46e71f0e,0.1,32,2,0.0625,3.0300395488739014,2,0.0,0.0,1.0
candle,35668050020a627f0adc5472,0.01,32,6,0.1875,0.1493728756904602,6,0.0,0.3333333432674408,0.3333333432674408
candle,35668050020a627f0adc5472,0.05,32,11,0.34375,0.1493728756904602,8,0.2727272727272727,0.4545454680919647,0.4545454680919647
candle,35668050020a627f0adc5472,0.1,32,14,0.4375,0.1493728756904602,10,0.2857142857142857,0.5,0.4285714328289032
candle,3aaddddf417ac998f01f564f,0.01,32,1,0.03125,1.6122066974639893,1,0.0,0.0,1.0
candle,3aaddddf417ac998f01f564f,0.05,32,3,0.09375,1.6122066974639893,2,0.33333333333333337,0.3333333432674408,1.0
candle,3aaddddf417ac998f01f564f,0.1,32,5,0.15625,1.6122066974639893,3,0.4,0.6000000238418579,1.0
candle,3b04f439dbfad1e077c3e306,0.01,32,2,0.0625,0.19074726104736328,2,0.0,0.0,1.0
candle,3b04f439dbfad1e077c3e306,0.05,32,8,0.25,0.19074726104736328,7,0.125,0.5,0.875
candle,3b04f439dbfad1e077c3e306,0.1,32,12,0.375,0.19074726104736328,8,0.33333333333333337,0.5833333134651184,0.9166666865348816
candle,3b705eaea187dc69831b6022,0.01,32,10,0.3125,0.056757792830467224,8,0.19999999999999996,0.4000000059604645,0.6000000238418579
candle,3b705eaea187dc69831b6022,0.05,32,15,0.46875,0.056757792830467224,11,0.2666666666666667,0.5333333611488342,0.7333333492279053
candle,3b705eaea187dc69831b6022,0.1,32,20,0.625,0.056757792830467224,12,0.4,0.550000011920929,0.800000011920929
candle,3d38231c78d6540e798da39e,0.01,32,0,0.0,1.702779769897461,0,,,
candle,3d38231c78d6540e798da39e,0.05,32,0,0.0,1.702779769897461,0,,,
candle,3d38231c78d6540e798da39e,0.1,32,1,0.03125,1.702779769897461,1,0.0,1.0,1.0
candle,433fea52c6a7370fa6aeb8f5,0.01,32,0,0.0,3.6276395320892334,0,,,
candle,433fea52c6a7370fa6aeb8f5,0.05,32,0,0.0,3.6276395320892334,0,,,
candle,433fea52c6a7370fa6aeb8f5,0.1,32,0,0.0,3.6276395320892334,0,,,
candle,44432f9b6735f9e80a62743b,0.01,32,7,0.21875,0.02845102548599243,5,0.2857142857142857,0.4285714328289032,0.8571428656578064
candle,44432f9b6735f9e80a62743b,0.05,32,20,0.625,0.02845102548599243,10,0.5,0.25,0.75
candle,44432f9b6735f9e80a62743b,0.1,32,23,0.71875,0.02845102548599243,11,0.5217391304347826,0.260869562625885,0.739130437374115
candle,4c34d07b1a724a2306c8048e,0.01,32,2,0.0625,1.2341020107269287,2,0.0,0.5,0.5
candle,4c34d07b1a724a2306c8048e,0.05,32,5,0.15625,1.2341020107269287,4,0.19999999999999996,0.800000011920929,0.800000011920929
candle,4c34d07b1a724a2306c8048e,0.1,32,6,0.1875,1.2341020107269287,5,0.16666666666666663,0.6666666865348816,0.8333333134651184
candle,4cd51110d2020c2bfdf72e34,0.01,32,2,0.0625,0.15224838256835938,2,0.0,1.0,0.5
candle,4cd51110d2020c2bfdf72e34,0.05,32,6,0.1875,0.15224838256835938,6,0.0,0.6666666865348816,0.3333333432674408
candle,4cd51110d2020c2bfdf72e34,0.1,32,11,0.34375,0.15224838256835938,8,0.2727272727272727,0.6363636255264282,0.1818181872367859
candle,5522c3c673d05e27a999e37a,0.01,32,1,0.03125,0.15261045098304749,1,0.0,1.0,0.0
candle,5522c3c673d05e27a999e37a,0.05,32,9,0.28125,0.15261045098304749,7,0.2222222222222222,0.4444444477558136,0.7777777910232544
candle,5522c3c673d05e27a999e37a,0.1,32,13,0.40625,0.15261045098304749,10,0.23076923076923073,0.5384615659713745,0.7692307829856873
candle,564b87f329cefaaca090bb92,0.01,32,2,0.0625,0.14336729049682617,2,0.0,0.0,1.0
candle,564b87f329cefaaca090bb92,0.05,32,12,0.375,0.14336729049682617,10,0.16666666666666663,0.3333333432674408,0.6666666865348816
candle,564b87f329cefaaca090bb92,0.1,32,14,0.4375,0.14336729049682617,10,0.2857142857142857,0.3571428656578064,0.5714285969734192
candle,5a58f0b785aa7f090ae7826b,0.01,32,0,0.0,1.6675684452056885,0,,,
candle,5a58f0b785aa7f090ae7826b,0.05,32,3,0.09375,1.6675684452056885,3,0.0,1.0,1.0
candle,5a58f0b785aa7f090ae7826b,0.1,32,4,0.125,1.6675684452056885,4,0.0,1.0,1.0
candle,5b7a35f2be4da81e6f199877,0.01,32,0,0.0,2.082670211791992,0,,,
candle,5b7a35f2be4da81e6f199877,0.05,32,0,0.0,2.082670211791992,0,,,
candle,5b7a35f2be4da81e6f199877,0.1,32,0,0.0,2.082670211791992,0,,,
candle,611be7471202b6452d9c2538,0.01,32,1,0.03125,0.16858769953250885,1,0.0,0.0,1.0
candle,611be7471202b6452d9c2538,0.05,32,8,0.25,0.16858769953250885,7,0.125,0.375,0.875
candle,611be7471202b6452d9c2538,0.1,32,9,0.28125,0.16858769953250885,7,0.2222222222222222,0.3333333432674408,0.8888888955116272
candle,630dde95782ed7537300aa3e,0.01,32,4,0.125,0.28051018714904785,4,0.0,0.25,0.75
candle,630dde95782ed7537300aa3e,0.05,32,10,0.3125,0.28051018714904785,8,0.19999999999999996,0.4000000059604645,0.800000011920929
candle,630dde95782ed7537300aa3e,0.1,32,12,0.375,0.28051018714904785,9,0.25,0.3333333432674408,0.8333333134651184
candle,668fafb002ba2bedb08a302a,0.01,22,2,0.09090909090909091,0.8109398484230042,2,0.0,0.5,1.0
candle,668fafb002ba2bedb08a302a,0.05,22,5,0.22727272727272727,0.8109398484230042,4,0.19999999999999996,0.6000000238418579,1.0
candle,668fafb002ba2bedb08a302a,0.1,22,7,0.3181818181818182,0.8109398484230042,4,0.4285714285714286,0.7142857313156128,1.0
