defect_type,support,tp,fp,fn,precision,recall,f1,strategy,eval_mode,category
scratch_head,24,4,37,20,0.0975609756097561,0.16666666666666666,0.12307692307692308,category_visual,crop_topk_ensemble,screw
scratch_neck,25,10,43,15,0.18867924528301888,0.4,0.2564102564102564,category_visual,crop_topk_ensemble,screw
thread_side,23,0,4,23,0.0,0.0,0.0,category_visual,crop_topk_ensemble,screw
thread_top,23,9,6,14,0.6,0.391304347826087,0.47368421052631576,category_visual,crop_topk_ensemble,screw
color,8,2,20,6,0.09090909090909091,0.25,0.13333333333333333,category_visual,crop_topk_ensemble,wood
combined,11,1,1,10,0.5,0.09090909090909091,0.15384615384615385,category_visual,crop_topk_ensemble,wood
hole,10,6,9,4,0.4,0.6,0.48,category_visual,crop_topk_ensemble,wood
liquid,10,0,6,10,0.0,0.0,0.0,category_visual,crop_topk_ensemble,wood
scratch,21,11,4,10,0.7333333333333333,0.5238095238095238,0.6111111111111112,category_visual,crop_topk_ensemble,wood
bent,7,3,3,4,0.5,0.42857142857142855,0.46153846153846156,category_visual,crop_topk_only,grid
broken,3,0,0,3,0.0,0.0,0.0,category_visual,crop_topk_only,grid
glue,5,2,3,3,0.4,0.4,0.4,category_visual,crop_topk_only,grid
metal_contamination,8,8,9,0,0.47058823529411764,1.0,0.64,category_visual,crop_topk_only,grid
thread,5,0,0,5,0.0,0.0,0.0,category_visual,crop_topk_only,grid
color,11,11,33,0,0.25,1.0,0.4,category_visual,crop_topk_only,leather
cut,11,0,2,11,0.0,0.0,0.0,category_visual,crop_topk_only,leather
fold,6,0,0,6,0.0,0.0,0.0,category_visual,crop_topk_only,leather
glue,8,0,0,8,0.0,0.0,0.0,category_visual,crop_topk_only,leather
poke,10,0,0,10,0.0,0.0,0.0,category_visual,crop_topk_only,leather
manipulated_front,10,0,1,10,0.0,0.0,0.0,category_visual,crop_topk_only,screw
