method,n,normal,anomaly,auroc,ap
D_raw,150,50,100,0.976,0.9890793622967358
M_global,150,50,100,0.6852,0.8172772628720845
M_tight_top1,150,50,100,0.7612,0.8654747936457441
M_context_top1,150,50,100,0.8072,0.8819401160597278
M_context_top3max,150,50,100,0.793,0.8757663427405517
D_z,150,50,100,0.976,0.9890793622967358
M_context_top1_z,150,50,100,0.8072,0.8819401160597278
naive_context_top1,150,50,100,0.9748,0.9886544351568477
naive_context_top3max,150,50,100,0.9676,0.9856933753786921
