category,method,variant,pair_accuracy,fraction_correct_to_wrong,fraction_wrong_to_correct,changed_pair_fraction
candle,D,brightness_0.8,1.0,0.0,0.0,0.0
candle,D,brightness_1.2,1.0,0.0,0.0,0.0
candle,D,contrast_0.8,1.0,0.0,0.0,0.0
candle,D,contrast_1.2,1.0,0.0,0.0,0.0
candle,D,identity,1.0,0.0,0.0,0.0
candle,MLP,brightness_0.8,1.0,0.0,0.0,0.0
candle,MLP,brightness_1.2,1.0,0.0,0.0,0.0
candle,MLP,contrast_0.8,1.0,0.0,0.0,0.0
candle,MLP,contrast_1.2,1.0,0.0,0.0,0.0
candle,MLP,identity,1.0,0.0,0.0,0.0
capsules,D,brightness_0.8,1.0,0.0,0.0,0.0
capsules,D,brightness_1.2,1.0,0.0,0.0,0.0
capsules,D,contrast_0.8,1.0,0.0,0.0,0.0
capsules,D,contrast_1.2,1.0,0.0,0.0,0.0
capsules,D,identity,1.0,0.0,0.0,0.0
capsules,MLP,brightness_0.8,1.0,0.0,0.0,0.0
capsules,MLP,brightness_1.2,1.0,0.0,0.0,0.0
capsules,MLP,contrast_0.8,1.0,0.0,0.0,0.0
capsules,MLP,contrast_1.2,1.0,0.0,0.0,0.0
capsules,MLP,identity,1.0,0.0,0.0,0.0
cashew,D,brightness_0.8,0.875,0.125,0.0,0.125
cashew,D,brightness_1.2,1.0,0.0,0.0,0.0
cashew,D,contrast_0.8,0.875,0.125,0.0,0.125
cashew,D,contrast_1.2,0.5625,0.4375,0.0,0.4375
cashew,D,identity,1.0,0.0,0.0,0.0
cashew,MLP,brightness_0.8,0.875,0.0,0.0,0.0
cashew,MLP,brightness_1.2,0.875,0.0,0.0,0.0
cashew,MLP,contrast_0.8,0.875,0.0,0.0,0.0
cashew,MLP,contrast_1.2,0.875,0.0,0.0,0.0
cashew,MLP,identity,0.875,0.0,0.0,0.0
chewinggum,D,brightness_0.8,1.0,0.0,0.0625,0.0625
chewinggum,D,brightness_1.2,0.5625,0.375,0.0,0.375
chewinggum,D,contrast_0.8,0.9375,0.0,0.0,0.0
chewinggum,D,contrast_1.2,1.0,0.0,0.0625,0.0625
chewinggum,D,identity,0.9375,0.0,0.0,0.0
chewinggum,MLP,brightness_0.8,0.9375,0.0625,0.0,0.0625
chewinggum,MLP,brightness_1.2,0.5,0.5,0.0,0.5
chewinggum,MLP,contrast_0.8,0.8125,0.1875,0.0,0.1875
chewinggum,MLP,contrast_1.2,0.875,0.125,0.0,0.125
chewinggum,MLP,identity,1.0,0.0,0.0,0.0
fryum,D,brightness_0.8,1.0,0.0,0.0,0.0
fryum,D,brightness_1.2,1.0,0.0,0.0,0.0
