method,n,normal,anomaly,auroc,ap
D_raw,162,72,90,0.5154320987654321,0.5872663847259421
M_global,162,72,90,0.3381172839506173,0.47623150850356294
M_tight_top1,162,72,90,0.49675925925925923,0.5313313227686002
M_context_top1,162,72,90,0.512962962962963,0.5422552912889114
M_context_top3max,162,72,90,0.42746913580246915,0.4872287727316289
D_z,162,72,90,0.5154320987654321,0.5872663847259421
M_context_top1_z,162,72,90,0.512962962962963,0.5422552912889114
naive_context_top1,162,72,90,0.49135802469135803,0.5732469014968313
naive_context_top3max,162,72,90,0.46820987654320984,0.5468925267348969
