image_id,category,original_gt_pixels,gt_pixels_256,gt_vanished_256,gt_pixels_512,gt_vanished_512,tight_hit,tight_gt_fraction,tight_image_fraction,context15_hit,context15_gt_fraction,context15_image_fraction,context30_hit,context30_gt_fraction,context30_image_fraction
b9346d87212caa450aa83345,candle,3702,164,0,660,0,1,1.0,0.054154397644347714,1,1.0,0.12213545000640123,1,1.0,0.41134297785174756
16371c78eea616c440a3b728,candle,2230,101,0,387,0,1,1.0,0.030365830239405967,1,1.0,0.06843313916271924,1,1.0,0.22153253424657535
35668050020a627f0adc5472,candle,1865,82,0,326,0,1,1.0,0.02346450518499552,1,1.0,0.053087526138351895,1,1.0,0.21118054666495967
add583dcc62a5788ebcdb480,candle,1469,63,0,255,0,0,0.0,0.015490974267059275,0,0.0,0.033990526181026756,0,0.0,0.10254768915631801
f0844f0c727e05164d32a48e,candle,1949,90,0,346,0,1,1.0,0.036821069645371914,1,1.0,0.08355404237613621,1,1.0,0.2606633807024282
44432f9b6735f9e80a62743b,candle,3579,158,0,627,0,1,0.9938530315730651,0.01568301113813852,1,1.0,0.03536679042376136,1,1.0,0.132913519395724
a34a253dc1080c944e5fff96,candle,163,8,0,28,0,1,1.0,0.04455255409038535,1,1.0,0.10024324670336705,1,1.0,0.34067340929458456
b01dcc3fd008f4514189617a,candle,480,20,0,85,0,1,0.8145833333333333,0.02046392907438228,1,0.8145833333333333,0.04648892587376777,1,0.8145833333333333,0.1640414959672257
1465cbb36ac902b4140e4c1d,candle,187,8,0,33,0,1,1.0,0.044413860794605894,1,1.0,0.10011522212264755,1,1.0,0.3308955319421329
88468c2928079c2e11f2b47a,candle,111,6,0,19,0,1,1.0,0.04990558187171937,1,1.0,0.11266563180130586,1,1.0,0.3471033105022831
2b6509024bae3e6bccca7363,candle,140,7,0,21,0,0,0.0,0.029121591345538343,0,0.0,0.054801188494857676,0,0.0,0.17472954807323007
9ad360eac4e01158c2e380a4,candle,70,2,0,11,0,1,1.0,0.041768019459736266,1,1.0,0.09421008833696069,1,1.0,0.2863269747791576
d73bdd44d7fda01fe8275bc9,candle,107,4,0,19,0,1,1.0,0.023940596594546153,1,1.0,0.05396236077326847,1,1.0,0.21546536935091537
ab9afeb16fd9a8853dee5274,candle,52,3,0,10,0,1,1.0,0.04385642043272308,1,1.0,0.0990550185635642,1,1.0,0.35629240814236335
2b7947bcdf5eb1937e18cad7,candle,54,2,0,9,0,1,1.0,0.02202022788375368,1,1.0,0.049545512738445784,1,1.0,0.19818205095378313
668fafb002ba2bedb08a302a,candle,130,6,0,22,0,1,1.0,0.03258625656125976,1,1.0,0.07390618998847778,1,1.0,0.2679314428370247
be7a0a3a57e6b9b1acf92d0b,candle,2761,125,0,479,0,1,1.0,0.0346159796014168,1,1.0,0.07844706183587248,1,1.0,0.27273503179277087
d4fed7dfb047418fbb3c000e,candle,88,3,0,16,0,1,1.0,0.0332410489480647,1,1.0,0.07524111296035506,1,1.0,0.29916944053258226
efee3baaddc2a0906e188def,candle,124,6,0,23,0,1,0.7903225806451613,0.026213032902317246,1,0.7903225806451613,0.0589793240302138,1,1.0,0.20252688516195108
fbcbceba9fd9123d01f3030e,candle,1686,73,0,303,0,1,0.7947805456702254,0.05012162335168353,1,0.7947805456702254,0.11277365254128793,1,0.8600237247924081,0.4362437588016899
b0080cf2c66a63e3093dff88,candle,62,2,0,11,0,1,1.0,0.02532152840011949,1,1.0,0.057345010241966456,1,1.0,0.19316708808091154
2cfa0214b5f2d2f4cb9d4013,candle,141,6,0,22,0,1,1.0,0.019687780053770323,1,1.0,0.044764594802202025,1,1.0,0.15138306554858533
66dc8ad1e500ba364d4213d5,candle,44,1,0,6,0,1,0.3409090909090909,0.03197413903469466,1,0.3409090909090909,0.07215785430802714,1,0.3409090909090909,0.24824366278325438
8f0e247dce28bee97bc07c8b,candle,151,5,0,24,0,1,1.0,0.03459064140314941,1,1.0,0.07828969828873811,1,1.0,0.2669552554090385
b55d0e80a1d91603885be041,candle,37,1,0,5,0,0,0.0,0.017371335296376904,0,0.0,0.03916351939572398,0,0.0,0.15634201766739214
d998b10fcedcef4853cb56f1,candle,30,1,0,6,0,1,1.0,0.025708936115734222,1,1.0,0.05824584986984167,1,1.0,0.2281398028421457
25f27de6af83355048803af0,candle,4459,198,0,772,0,1,1.0,0.04734308987325567,1,1.0,0.1067971717236376,1,1.0,0.37639826846754576
630dde95782ed7537300aa3e,candle,7928,345,0,1377,0,1,1.0,0.04230812315964665,1,1.0,0.09109549033414416,1,1.0,0.22886127469807535
2ae17c08f2618611a574a091,candle,5799,250,0,1002,0,1,1.0,0.03887413049972261,1,1.0,0.08757281398028421,1,1.0,0.33175636388853325
9566227abae86ed57cfee51a,candle,10834,468,0,1889,0,1,1.0,0.04137327700251782,1,1.0,0.09342593778005377,1,1.0,0.2936763858660863
3aaddddf417ac998f01f564f,candle,6866,296,0,1198,0,1,1.0,0.0414799641531174,1,1.0,0.09345794392523364,1,1.0,0.3733196773780566
fbf5ba916f7105bc36044471,candle,6580,289,0,1157,0,1,1.0,0.036306970938420176,1,1.0,0.08227979772116246,1,1.0,0.3191112693637178
164a61895f124d74a7c4405b,candle,13415,587,0,2349,0,1,1.0,0.02970170272692357,1,1.0,0.06682883113557803,1,1.0,0.25014402765330945
4cd51110d2020c2bfdf72e34,candle,17811,781,0,3110,0,1,1.0,0.037715908121025904,1,1.0,0.0853463865062092,1,1.0,0.2733178103529211
