stratum,representation,feature,ks_distance,wasserstein
uniform,raw,response,0.3370615641276042,1.4378337612074932
uniform,raw,center_surround,0.0856170654296875,0.10286454922327637
uniform,raw,surround,0.3644561767578125,1.4409718145260888
uniform,raw,response_std,0.30289713541666663,0.23659358099958663
uniform,raw,intensity_mean,0.30390421549479163,0.15768787716179605
uniform,raw,intensity_std,0.26214599609375,0.025748513483373557
uniform,raw,image_gradient,0.1836090087890625,0.0539428425286223
uniform,normal_robust,response,0.02283732096354163,0.0814567458414055
uniform,normal_robust,center_surround,0.007548014322916685,0.023452928713514457
uniform,normal_robust,surround,0.025751749674479168,0.10345821613678367
uniform,normal_robust,response_std,0.02165730794270837,0.07787545121894582
uniform,normal_robust,intensity_mean,0.12771097819010413,2.361339967293935
uniform,normal_robust,intensity_std,0.1820831298828125,2.852458104066608
uniform,normal_robust,image_gradient,0.073638916015625,11.789634596183642
uniform,normal_percentile,response,0.02079264322916663,0.013470237902944732
uniform,normal_percentile,center_surround,0.00616455078125,0.002486873910728973
uniform,normal_percentile,surround,0.02919514973958337,0.018809750913894613
uniform,normal_percentile,response_std,0.02184041341145837,0.013828937251827576
uniform,normal_percentile,intensity_mean,0.028147379557291685,0.01052001163976188
uniform,normal_percentile,intensity_std,0.035924275716145836,0.016374580473158616
uniform,normal_percentile,image_gradient,0.10634358723958333,0.028010301217660717
high_response,raw,response,0.09859212239583331,0.2878441330953271
high_response,raw,center_surround,0.22896321614583331,0.2193485978847699
high_response,raw,surround,0.170654296875,0.41628059805304096
high_response,raw,response_std,0.29805501302083337,0.21676846797830274
high_response,raw,intensity_mean,0.170654296875,0.06223089789273219
high_response,raw,intensity_std,0.31559244791666663,0.04662527242900674
high_response,raw,image_gradient,0.38749186197916663,0.15973431551242356
high_response,normal_robust,response,0.06172688802083337,0.5818076468493265
high_response,normal_robust,center_surround,0.06241861979166663,0.19364844038096019
high_response,normal_robust,surround,0.109130859375,0.3425750746889184
high_response,normal_robust,response_std,0.052937825520833315,0.19647399707395574
high_response,normal_robust,intensity_mean,0.1627197265625,1.1107071194746376
high_response,normal_robust,intensity_std,0.0938720703125,0.539505093325399
high_response,normal_robust,image_gradient,0.07242838541666669,0.40521861568547773
high_response,normal_percentile,response,0.14176432291666663,0.049050362690086516
high_response,normal_percentile,center_surround,0.04569498697916663,0.017636828891520295
high_response,normal_percentile,surround,0.12455240885416669,0.03593675040433463
high_response,normal_percentile,response_std,0.06986490885416663,0.027192894079878016
high_response,normal_percentile,intensity_mean,0.1766357421875,0.07841301187628187
high_response,normal_percentile,intensity_std,0.1336669921875,0.051295234285456466
high_response,normal_percentile,image_gradient,0.0772705078125,0.02835783075570053
