method,baseline,delta_macro_auroc,lower95,upper95
fixed_source,D_z,0.0044869542935019125,-0.0031506648113790972,0.012156252505210838
logistic_source,D_z,0.008221149991983326,-0.005138111736698047,0.021800350264263926
fixed_source,naive_context_top1,0.004832888121578598,-0.02924152433490231,0.03979260647861831
logistic_source,naive_context_top1,0.008567083820060009,-0.02076109450514212,0.03854615206772935
