method,n,normal,anomaly,auroc,ap
D_raw,132,42,90,0.6812169312169313,0.81991662444153
M_global,132,42,90,0.5063492063492063,0.6982532721263293
M_tight_top1,132,42,90,0.611111111111111,0.7604670110090592
M_context_top1,132,42,90,0.5063492063492063,0.7486357490416188
M_context_top3max,132,42,90,0.5743386243386243,0.7865975489175441
D_z,132,42,90,0.6812169312169313,0.81991662444153
M_context_top1_z,132,42,90,0.5063492063492063,0.7486357490416188
naive_context_top1,132,42,90,0.6153439153439153,0.7936140844537763
naive_context_top3max,132,42,90,0.66005291005291,0.8184414069681547
