category,num_reports,num_pred_defect_types,num_defect_families,mean_confidence_margin,top1_accuracy,top2_accuracy
grid,56,4,3,0.004315315612724855,0.23214285714285715,0.375
leather,92,5,4,0.002623097728128015,0.2826086956521739,0.41304347826086957
screw,119,5,2,0.00582799365540513,0.3277310924369748,0.5798319327731093
wood,60,3,3,0.013780065129200618,0.5166666666666667,0.65
MEAN,327,16,6,0.00612635418362574,0.33978732797466815,0.5044688527584947
