category,weight_id,tune_patchcore_f1,tune_rerank_f1,mean_w,max_w,gap_w,area_w,compact_w,aspect_w,semantic_w
leather,0,0.4877534782608696,0.4877534782608696,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leather,1,0.4877534782608696,0.4877534782608696,0.8,0.0,0.0,0.0,0.0,0.0,0.2
leather,2,0.4877534782608696,0.4877534782608696,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
leather,3,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.0,0.0,0.0,0.5
leather,4,0.4877534782608696,0.4877534782608696,0.8,0.0,0.0,0.0,0.0,0.2,0.0
leather,5,0.4877534782608696,0.4877534782608696,0.6666666666666667,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669
leather,6,0.4877534782608696,0.4877534782608696,0.5714285714285715,0.0,0.0,0.0,0.0,0.14285714285714288,0.28571428571428575
leather,7,0.4877534782608696,0.4877534782608696,0.4444444444444445,0.0,0.0,0.0,0.0,0.11111111111111112,0.4444444444444445
leather,8,0.4877534782608696,0.4877534782608696,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
leather,9,0.4877534782608696,0.4877534782608696,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285
leather,10,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.0,0.0,0.25,0.25
leather,11,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.0,0.0,0.2,0.4
leather,12,0.4877534782608696,0.4877534782608696,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
leather,13,0.4877534782608696,0.4877534782608696,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285
leather,14,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.0,0.25,0.0,0.25
leather,15,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.0,0.2,0.0,0.4
leather,16,0.4877534782608696,0.4877534782608696,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
leather,17,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.0,0.25,0.125,0.125
leather,18,0.4877534782608696,0.4877534782608696,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222
leather,19,0.4877534782608696,0.4877534782608696,0.36363636363636365,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.36363636363636365
leather,20,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.0,0.25,0.25,0.0
leather,21,0.4877534782608696,0.4877534782608696,0.4444444444444445,0.0,0.0,0.0,0.22222222222222224,0.22222222222222224,0.11111111111111112
leather,22,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.0,0.2,0.2,0.2
leather,23,0.4877534782608696,0.4877534782608696,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333
leather,24,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.0,0.5,0.0,0.0
leather,25,0.4877534782608696,0.4877534782608696,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.0,0.11111111111111112
leather,26,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.0,0.4,0.0,0.2
leather,27,0.4877534782608696,0.4877534782608696,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
leather,28,0.4877534782608696,0.4877534782608696,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.11111111111111112,0.0
leather,29,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.0,0.4,0.1,0.1
leather,30,0.4877534782608696,0.4877534782608696,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182
leather,31,0.4877534782608696,0.4877534782608696,0.3076923076923077,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.3076923076923077
leather,32,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.0,0.4,0.2,0.0
leather,33,0.4877534782608696,0.4877534782608696,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091
leather,34,0.4877534782608696,0.4877534782608696,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337,0.16666666666666669,0.16666666666666669
leather,35,0.4877534782608696,0.4877534782608696,0.28571428571428575,0.0,0.0,0.0,0.28571428571428575,0.14285714285714288,0.28571428571428575
leather,36,0.4877534782608696,0.4877534782608696,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
leather,37,0.4877534782608696,0.4877534782608696,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285
leather,38,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.25,0.0,0.0,0.25
leather,39,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.2,0.0,0.0,0.4
leather,40,0.4877534782608696,0.4877534782608696,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0
leather,41,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.25,0.0,0.125,0.125
leather,42,0.4877534782608696,0.4877534782608696,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222
leather,43,0.4877534782608696,0.4877534782608696,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.36363636363636365
leather,44,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.25,0.0,0.25,0.0
leather,45,0.4877534782608696,0.4877534782608696,0.4444444444444445,0.0,0.0,0.22222222222222224,0.0,0.22222222222222224,0.11111111111111112
leather,46,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.2,0.0,0.2,0.2
leather,47,0.4877534782608696,0.4877534782608696,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333
leather,48,0.4877534782608696,0.4877534782608696,0.5,0.0,0.0,0.25,0.25,0.0,0.0
leather,49,0.4877534782608696,0.4877534782608696,0.4444444444444445,0.0,0.0,0.22222222222222224,0.22222222222222224,0.0,0.11111111111111112
leather,50,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.2,0.2,0.0,0.2
leather,51,0.4877534782608696,0.4877534782608696,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333
leather,52,0.4877534782608696,0.4877534782608696,0.4444444444444445,0.0,0.0,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.0
leather,53,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.2,0.2,0.1,0.1
leather,54,0.4877534782608696,0.4877534782608696,0.36363636363636365,0.0,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182
leather,55,0.4877534782608696,0.4877534782608696,0.3076923076923077,0.0,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.3076923076923077
leather,56,0.4877534782608696,0.4877534782608696,0.4,0.0,0.0,0.2,0.2,0.2,0.0
