method,n,normal,anomaly,auroc,ap
D_raw,160,60,100,0.9468333333333334,0.9725918821848262
M_global,160,60,100,0.45733333333333337,0.6192061813268797
M_tight_top1,160,60,100,0.4175000000000001,0.5924157759968453
M_context_top1,160,60,100,0.4083333333333333,0.55844842872827
M_context_top3max,160,60,100,0.4083333333333333,0.5517029053269409
D_z,160,60,100,0.9468333333333334,0.9725918821848262
M_context_top1_z,160,60,100,0.4083333333333333,0.55844842872827
naive_context_top1,160,60,100,0.9408333333333333,0.9713975202246902
naive_context_top3max,160,60,100,0.9359999999999999,0.9665136039646129
