category,method,value,keep_largest,num_samples,mean_iou,mean_f1,mean_pred_area,mean_threshold
grid,fixed,0.05,False,28,0.011349291082828896,0.022275548391764464,49790.28571428572,0.05000000000000001
grid,fixed,0.05,True,28,0.011349590921317895,0.022276141081564036,49787.78571428572,0.05000000000000001
grid,fixed,0.1,False,28,0.011854456660699604,0.02325371300860376,47601.607142857145,0.10000000000000002
grid,fixed,0.1,True,28,0.011855439080798927,0.023255642424341628,47597.0,0.10000000000000002
grid,fixed,0.15,False,28,0.014407178808366766,0.028147447828134903,40819.17857142857,0.15
grid,fixed,0.15,True,28,0.014974871606177853,0.02919960775726027,40272.67857142857,0.15
grid,fixed,0.2,False,28,0.020114116229201374,0.0389065164066698,31680.571428571428,0.20000000000000004
grid,fixed,0.2,True,28,0.021217359752507214,0.04079355707025513,28699.75,0.20000000000000004
grid,fixed,0.25,False,28,0.030769429791053893,0.05844146986568383,22890.178571428572,0.25
grid,fixed,0.25,True,28,0.032178695916962936,0.06060193747419918,19406.321428571428,0.25
grid,fixed,0.3,False,28,0.045590819080924445,0.08475114513814878,16238.17857142857,0.3
grid,fixed,0.3,True,28,0.045468538891098816,0.08379080359943734,13588.785714285714,0.3
grid,fixed,0.35,False,28,0.06530048911497474,0.11857194268775287,11213.464285714286,0.3499999999999999
grid,fixed,0.35,True,28,0.06687411080386203,0.12088705655698227,8621.785714285714,0.3499999999999999
grid,fixed,0.39999999999999997,False,28,0.08693648710781719,0.15469123408436278,7874.535714285715,0.4
grid,fixed,0.39999999999999997,True,28,0.08011882810564337,0.14222752662864438,5967.785714285715,0.4
grid,fixed,0.44999999999999996,False,28,0.10990914045146284,0.1921564168049414,5520.071428571428,0.44999999999999984
grid,fixed,0.44999999999999996,True,28,0.10052233978304305,0.17579243304008796,4120.678571428572,0.44999999999999984
grid,fixed,0.49999999999999994,False,28,0.13912428189535447,0.23754693434329935,3942.3571428571427,0.49999999999999994
grid,fixed,0.49999999999999994,True,28,0.1405789915192479,0.2376548326911089,2928.6428571428573,0.49999999999999994
grid,fixed,0.5499999999999999,False,28,0.17384398611798874,0.28752593870458776,2964.25,0.55
grid,fixed,0.5499999999999999,True,28,0.17326806540857112,0.28661576306039194,2272.5,0.55
grid,fixed,0.6,False,28,0.21130009285172857,0.3386647972126137,2315.464285714286,0.6
grid,fixed,0.6,True,28,0.20314405630237126,0.32649733972703526,1906.3214285714287,0.6
grid,fixed,0.65,False,28,0.25315187879697393,0.3916808672222777,1804.6785714285713,0.6499999999999998
grid,fixed,0.65,True,28,0.2346835117322388,0.36606635190502723,1516.0,0.6499999999999998
