variant,mean,std,minimum,maximum
response,0.9649254675467547,0.0,0.9649254675467547,0.9649254675467547
map,0.9666051430143013,5.162400295291984e-05,0.9665582783278328,0.9666604785478548
full,0.9835811422808948,0.0007321693607985834,0.9831514576457646,0.9844265401540154
