method,category,condition,size_band,regions,aupro_0_05
global,sheet_metal,regular,large_gt_1pct,2,0.5034399010278728
global,sheet_metal,regular,small_0.1_to_1pct,4,0.8551852520062094
global,sheet_metal,regular,tiny_le_0.1pct,69,0.5736604038794729
global,sheet_metal,shift_1,all,75,0.6111493176769645
global,sheet_metal,shift_1,large_gt_1pct,2,0.5035728282795308
global,sheet_metal,shift_1,small_0.1_to_1pct,4,0.9517676536069767
global,sheet_metal,shift_1,tiny_le_0.1pct,69,0.5945214863012329
global,sheet_metal,shift_2,all,75,0.6172203159953974
global,sheet_metal,shift_2,large_gt_1pct,2,0.5004681176631651
global,sheet_metal,shift_2,small_0.1_to_1pct,4,0.9429072694305048
global,sheet_metal,shift_2,tiny_le_0.1pct,69,0.6017240345884999
global,sheet_metal,shift_3,all,75,0.6007022081968435
global,sheet_metal,shift_3,large_gt_1pct,2,0.5090258205214129
global,sheet_metal,shift_3,small_0.1_to_1pct,4,0.958267328934215
global,sheet_metal,shift_3,tiny_le_0.1pct,69,0.582631081999763
global,sheet_metal,underexposed,all,75,0.5773995481888209
global,sheet_metal,underexposed,large_gt_1pct,2,0.5010730875099724
global,sheet_metal,underexposed,small_0.1_to_1pct,4,0.8739679873779707
global,sheet_metal,underexposed,tiny_le_0.1pct,69,0.5624195360815829
global,vial,overexposed,all,25,0.7850509730205282
global,vial,overexposed,large_gt_1pct,7,0.4867754424006247
global,vial,overexposed,small_0.1_to_1pct,11,0.8892018719870052
global,vial,overexposed,tiny_le_0.1pct,7,0.9196608052645502
global,vial,regular,all,24,0.7889497206743586
global,vial,regular,large_gt_1pct,7,0.49444130362984845
global,vial,regular,small_0.1_to_1pct,11,0.8956987726906979
global,vial,regular,tiny_le_0.1pct,6,0.9368362785297097
global,vial,shift_1,all,25,0.7399908751133485
global,vial,shift_1,large_gt_1pct,7,0.493185086661119
global,vial,shift_1,small_0.1_to_1pct,11,0.8311686244957905
global,vial,shift_1,tiny_le_0.1pct,7,0.8435173431074869
global,vial,shift_2,all,25,0.7904747421457767
global,vial,shift_2,large_gt_1pct,7,0.4955667165076738
global,vial,shift_2,small_0.1_to_1pct,11,0.8884350670066157
global,vial,shift_2,tiny_le_0.1pct,7,0.9314451144311362
global,vial,shift_3,all,25,0.7675654058286261
global,vial,shift_3,large_gt_1pct,7,0.48625107818674784
global,vial,shift_3,small_0.1_to_1pct,11,0.8670100857729504
global,vial,shift_3,tiny_le_0.1pct,7,0.8926095221294313
global,vial,shift_4,all,25,0.72526959570281
global,vial,shift_4,large_gt_1pct,7,0.48634868426954425
global,vial,shift_4,small_0.1_to_1pct,11,0.8163023959281336
global,vial,shift_4,tiny_le_0.1pct,7,0.8211389639248824
global,vial,underexposed,all,26,0.7901623060229696
global,vial,underexposed,large_gt_1pct,7,0.49476189317527713
global,vial,underexposed,small_0.1_to_1pct,11,0.8917055279577607
