method,n,normal,anomaly,auroc,ap
D_raw,201,101,100,0.9845544554455445,0.983130723329334
M_global,201,101,100,0.4974257425742574,0.5740563805024581
M_tight_top1,201,101,100,0.5587128712871288,0.5456649794712285
M_context_top1,201,101,100,0.7758415841584159,0.8116171431350483
M_context_top3max,201,101,100,0.6779207920792079,0.7173253756005382
D_z,201,101,100,0.9845544554455445,0.983130723329334
M_context_top1_z,201,101,100,0.7758415841584159,0.8116171431350483
naive_context_top1,201,101,100,0.986039603960396,0.9868362822523444
naive_context_top3max,201,101,100,0.9844554455445544,0.9856890170542608
