category,n,D256,D512
can,162,0.44382716049382714,0.5154320987654321
fabric,156,0.7102693602693604,0.7856902356902357
fruit_jelly,80,0.7899999999999999,0.9241666666666667
rice,132,0.5335978835978836,0.6812169312169313
sheet_metal,114,0.699537037037037,0.6532407407407408
vial,140,0.8642176870748299,0.868843537414966
wallplugs,150,0.46518518518518515,0.5625925925925926
walnuts,150,0.8448148148148148,0.8603703703703703
