method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
view_mean,identity,0.0005815456545654565,-0.0012903223966626407,0.002430624217802364,5,12,2000
view_median,identity,0.000896012101210121,-0.000928213625383755,0.0028455376035987955,5,12,2000
view_min,identity,-0.004625742574257426,-0.00768361144378004,-0.0017557253014413565,7,12,2000
