method,auroc,ap
brightness08,0.9666553905390539,0.9709039424205607
brightness12,0.9561583333333333,0.9647238318218389
contrast08,0.9654062706270627,0.9697674594668934
contrast12,0.9516940869086908,0.9612637611346821
identity,0.9654261276127613,0.9697848866355806
view_mean,0.9660076732673267,0.9695213145590116
view_median,0.9663221397139714,0.9702251281160578
view_min,0.9608003850385037,0.9662159559097372
