category,epoch,loss,bce,dice,identity,residual_l1,normal_fp
grid,1,1.8412001132965088,0.445638507604599,0.9369526505470276,0.0,0.0,0.458609014749527
grid,20,1.834998607635498,0.4399891495704651,0.9367685317993164,5.920501735090511e-06,0.002203170442953706,0.45602601766586304
grid,40,1.8285017013549805,0.43482276797294617,0.9373172521591187,2.838013824657537e-05,0.0038272428791970015,0.45247772336006165
grid,60,1.8170936107635498,0.4256838262081146,0.9386692047119141,0.00012491256347857416,0.006556019186973572,0.4459347128868103
grid,80,1.8093751668930054,0.4194691479206085,0.939459502696991,0.00024619599571451545,0.00884691346436739,0.44110730290412903
grid,100,1.8024019002914429,0.41426920890808105,0.9395763278007507,0.0003602131619118154,0.011460142210125923,0.4363757073879242
grid,120,1.7958555221557617,0.4094336926937103,0.9395111203193665,0.0004886416136287153,0.014111103489995003,0.43182235956192017
grid,140,1.7896921634674072,0.4047914743423462,0.9395698308944702,0.0006422619335353374,0.01654626801609993,0.4275001883506775
grid,160,1.783869743347168,0.40041109919548035,0.9395645260810852,0.0008111260831356049,0.01893332600593567,0.4233386814594269
grid,180,1.77838933467865,0.39627572894096375,0.9395395517349243,0.0009939284063875675,0.021227428689599037,0.4193587303161621
grid,200,1.7732621431350708,0.39239802956581116,0.9394911527633667,0.0011871353490278125,0.023421334102749825,0.41557738184928894
