category,method,auroc,ap
fryum,lr_context15_visual_z,0.9349999999999999,0.9734033558172724
fryum,lr_context30_text_z,0.9348000000000001,0.9734543807868989
fryum,lr_context30_visual_z,0.9356,0.9729162149375105
macaroni1,D_z,0.8249000000000001,0.8242616411715697
macaroni1,fixed_source_oof,0.8318,0.8299120296971585
macaroni1,logistic_geometry,0.8408,0.8666603955464629
macaroni1,nested_selected,0.8479000000000001,0.8763538651020941
macaroni1,tight_text_z,0.641,0.7002532129254005
macaroni1,tight_visual_z,0.7122,0.7239617615242234
macaroni1,context15_text_z,0.5776,0.5888520862673394
macaroni1,context15_visual_z,0.6946000000000001,0.6812763296691282
macaroni1,context30_text_z,0.4571,0.4858372285116791
macaroni1,context30_visual_z,0.7265,0.7041184510586782
macaroni1,lr_tight_text_z,0.8479000000000001,0.8763538651020941
macaroni1,lr_tight_visual_z,0.8385999999999999,0.8643397765506698
macaroni1,lr_context15_text_z,0.8408,0.8666603955464629
macaroni1,lr_context15_visual_z,0.8367,0.8619658571286648
macaroni1,lr_context30_text_z,0.833,0.8611941062350751
macaroni1,lr_context30_visual_z,0.8359000000000001,0.8580076785504295
macaroni2,D_z,0.6688000000000001,0.6664001065955215
macaroni2,fixed_source_oof,0.6656,0.6678222535117297
macaroni2,logistic_geometry,0.7396000000000001,0.7451108667616398
macaroni2,nested_selected,0.7396000000000001,0.7451108667616398
macaroni2,tight_text_z,0.6434,0.6547627523373325
macaroni2,tight_visual_z,0.5579000000000001,0.5856926299098439
macaroni2,context15_text_z,0.5069,0.4927968038682699
macaroni2,context15_visual_z,0.5462,0.547569688842835
macaroni2,context30_text_z,0.3983,0.4466868754431388
macaroni2,context30_visual_z,0.6129,0.572175760234237
macaroni2,lr_tight_text_z,0.7666000000000001,0.7628879972986526
macaroni2,lr_tight_visual_z,0.7511000000000001,0.7414417426481328
macaroni2,lr_context15_text_z,0.7396000000000001,0.7451108667616398
macaroni2,lr_context15_visual_z,0.7527000000000001,0.7443632248657154
macaroni2,lr_context30_text_z,0.7523,0.7402721028968932
macaroni2,lr_context30_visual_z,0.7399000000000001,0.7406044267532346
pcb1,D_z,0.9336000000000001,0.9311853472869269
pcb1,fixed_source_oof,0.9353,0.9324267476568814
pcb1,logistic_geometry,0.9571,0.9558031418966852
pcb1,nested_selected,0.9514,0.951070261423278
pcb1,tight_text_z,0.4673,0.5372129933877199
pcb1,tight_visual_z,0.7610999999999999,0.7419548372072695
pcb1,context15_text_z,0.5880000000000001,0.6077739872274903
pcb1,context15_visual_z,0.7283999999999999,0.7286594404122447
pcb1,context30_text_z,0.5661,0.5811864394414792
pcb1,context30_visual_z,0.727,0.7084547805934853
pcb1,lr_tight_text_z,0.9514,0.951070261423278
pcb1,lr_tight_visual_z,0.9556,0.9545650371640197
pcb1,lr_context15_text_z,0.9571,0.9558031418966852
pcb1,lr_context15_visual_z,0.9552,0.9539331342365402
pcb1,lr_context30_text_z,0.9536,0.9524885197003934
pcb1,lr_context30_visual_z,0.9562999999999999,0.9548977992930382
pcb2,D_z,0.9277,0.9175799341556953
pcb2,fixed_source_oof,0.9305,0.9195048818266502
pcb2,logistic_geometry,0.9435,0.9350103861535424
pcb2,nested_selected,0.9403,0.9332741067587171
pcb2,tight_text_z,0.5612000000000001,0.5809638896143295
pcb2,tight_visual_z,0.7312000000000001,0.7359861551590723
pcb2,context15_text_z,0.5349,0.5862096443831087
pcb2,context15_visual_z,0.5817,0.6268076003732357
pcb2,context30_text_z,0.5662,0.5427819778553566
pcb2,context30_visual_z,0.5905,0.5927830758702171
pcb2,lr_tight_text_z,0.9403,0.9332741067587171
pcb2,lr_tight_visual_z,0.94,0.9329929671922759
pcb2,lr_context15_text_z,0.9435,0.9350103861535424
pcb2,lr_context15_visual_z,0.9382999999999999,0.9315398844345029
pcb2,lr_context30_text_z,0.9411999999999999,0.930694175306017
pcb2,lr_context30_visual_z,0.9386,0.9323138556583105
pcb3,D_z,0.9269306930693069,0.9384424898094934
pcb3,fixed_source_oof,0.931980198019802,0.9420085441567995
pcb3,logistic_geometry,0.95009900990099,0.9566544192766587
pcb3,nested_selected,0.9456435643564356,0.9522972846948731
pcb3,tight_text_z,0.6395049504950495,0.6872946665851624
pcb3,tight_visual_z,0.694059405940594,0.7296785948175588
pcb3,context15_text_z,0.7162376237623762,0.7484454574262025
pcb3,context15_visual_z,0.6254455445544554,0.63647893141943
pcb3,context30_text_z,0.6335643564356436,0.6459871407158198
pcb3,context30_visual_z,0.49603960396039604,0.48837383194069506
pcb3,lr_tight_text_z,0.9559405940594059,0.9600028162856721
pcb3,lr_tight_visual_z,0.9463366336633663,0.9530651358522608
pcb3,lr_context15_text_z,0.95009900990099,0.9566544192766587
pcb3,lr_context15_visual_z,0.9456435643564356,0.9522972846948731
pcb3,lr_context30_text_z,0.9438613861386138,0.9513130579683489
pcb3,lr_context30_visual_z,0.9404950495049504,0.9441508494120623
pcb4,D_z,0.9845544554455445,0.983130723329334
pcb4,fixed_source_oof,0.985049504950495,0.9836317886415441
pcb4,logistic_geometry,0.9925742574257426,0.992389556520516
pcb4,nested_selected,0.9889108910891089,0.9889569004187934
pcb4,tight_text_z,0.5588118811881189,0.5457169985154888
pcb4,tight_visual_z,0.9191089108910891,0.9076002295248187
pcb4,context15_text_z,0.7758415841584159,0.8116171431350483
pcb4,context15_visual_z,0.7798019801980198,0.7287490589746364
pcb4,context30_text_z,0.5551485148514852,0.5388627587310646
pcb4,context30_visual_z,0.5719801980198019,0.5718079374365449
pcb4,lr_tight_text_z,0.9889108910891089,0.9889569004187934
pcb4,lr_tight_visual_z,0.9903960396039604,0.9897533975088855
pcb4,lr_context15_text_z,0.9925742574257426,0.992389556520516
pcb4,lr_context15_visual_z,0.9892079207920792,0.9884633498974008
pcb4,lr_context30_text_z,0.9910891089108911,0.9909726024230605
pcb4,lr_context30_visual_z,0.99,0.9894614433667928
pipe_fryum,D_z,0.9934,0.9968678510933773
pipe_fryum,fixed_source_oof,0.9934000000000001,0.9968031706795242
pipe_fryum,logistic_geometry,0.9910000000000001,0.9956567140245395
pipe_fryum,nested_selected,0.9928000000000001,0.9964802200176728
pipe_fryum,tight_text_z,0.7428,0.8680830589694923
pipe_fryum,tight_visual_z,0.9062,0.9462735367461286
pipe_fryum,context15_text_z,0.6678000000000001,0.8220363316071497
pipe_fryum,context15_visual_z,0.8948,0.938289643991066
pipe_fryum,context30_text_z,0.5474,0.6761044517910867
pipe_fryum,context30_visual_z,0.8253999999999999,0.8996150546773675
pipe_fryum,lr_tight_text_z,0.9922000000000001,0.9961566499702885
pipe_fryum,lr_tight_visual_z,0.9918,0.9958676955510628
pipe_fryum,lr_context15_text_z,0.9910000000000001,0.9956567140245395
pipe_fryum,lr_context15_visual_z,0.9928000000000001,0.9964802200176728
pipe_fryum,lr_context30_text_z,0.9924,0.9963313277495567
pipe_fryum,lr_context30_visual_z,0.9922000000000001,0.9960909922633829
