method,best_window_coverage,union_coverage,recalled50,recalled90
grid8,0.4598458310594747,0.471556914896237,0.4742541410313849,0.3931483794066199
mixed8,0.9186649730592694,0.9187460880954352,0.9177013044572128,0.9145915007255205
top8,0.9795285365948951,0.97961010546478,0.9796986683826066,0.9787685164534792
