category,method,best_window_coverage,union_coverage,recalled50,recalled90
capsules,grid8,0.5145016396635129,0.5255581507200241,0.5113636363636364,0.47954545454545455
capsules,mixed8,0.9659090909090909,0.9659090909090909,0.9659090909090909,0.9659090909090909
capsules,top8,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636
chewinggum,grid8,0.3954112906329934,0.4299736280584668,0.45833333333333337,0.2450980392156863
chewinggum,mixed8,0.8261780518659076,0.8261780518659076,0.8235294117647058,0.8235294117647058
chewinggum,top8,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176
fryum,grid8,0.3684814848238689,0.3684814848238689,0.36872552891069943,0.3394022081435284
fryum,mixed8,0.8618386548576621,0.8618386548576621,0.8619821029131102,0.8591908057850024
fryum,top8,0.9381193801490549,0.9381193801490549,0.9376114081996435,0.9371146372110691
macaroni1,grid8,0.8258349976448904,0.8463069466968847,0.8514591143011115,0.7635253749138837
macaroni1,mixed8,0.9937015503875969,0.9937015503875969,0.9941860465116279,0.9941860465116279
macaroni1,top8,0.9898255813953488,0.9898255813953488,0.9903100775193799,0.9903100775193799
macaroni2,grid8,0.6801334686778938,0.6892485107757659,0.6927423981640849,0.6188348504790744
macaroni2,mixed8,0.9878645014841977,0.9879518072289156,0.9879518072289156,0.9879518072289156
macaroni2,top8,1.0,1.0,1.0,1.0
pcb2,grid8,0.3766399282117185,0.37813221526738583,0.36412698412698413,0.346468253968254
pcb2,mixed8,0.9257153850646215,0.9260195941210747,0.9286111111111112,0.9175
pcb2,top8,0.9944187300518652,0.9944187300518652,0.9958333333333333,0.9888888888888889
pcb3,grid8,0.1960693734174739,0.19641627443505022,0.2044033980204193,0.13779128672745694
pcb3,mixed8,0.8769048393523441,0.8769048393523441,0.8680851063829786,0.8680851063829786
pcb3,top8,0.9667233355657445,0.9673758865248228,0.9673758865248228,0.9673758865248228
pcb4,grid8,0.32169446540344554,0.3383381083924499,0.34287873503081034,0.21452156725962096
pcb4,mixed8,0.9112077105527342,0.9114651160408901,0.911355758836162,0.9003797372218425
pcb4,top8,0.9879166666666667,0.9879166666666667,0.9872340425531915,0.9872340425531915
