category,image_id,method,best_window_coverage,union_coverage,recalled50,recalled90
capsules,81bcf0781bf56862fae25e1a,mixed8,0.0,0.0,0.0,0.0
capsules,81bcf0781bf56862fae25e1a,top8,1.0,1.0,1.0,1.0
capsules,8464956cf1c5d0f0c6546da1,grid8,0.07268170426065163,0.07268170426065163,0.0,0.0
capsules,8464956cf1c5d0f0c6546da1,mixed8,1.0,1.0,1.0,1.0
capsules,8464956cf1c5d0f0c6546da1,top8,1.0,1.0,1.0,1.0
capsules,8704aeb2018ef5778370ecfb,grid8,1.0,1.0,1.0,1.0
capsules,8704aeb2018ef5778370ecfb,mixed8,1.0,1.0,1.0,1.0
capsules,8704aeb2018ef5778370ecfb,top8,1.0,1.0,1.0,1.0
capsules,906bc6e642b1cf0750840cd7,grid8,1.0,1.0,1.0,1.0
capsules,906bc6e642b1cf0750840cd7,mixed8,1.0,1.0,1.0,1.0
capsules,906bc6e642b1cf0750840cd7,top8,1.0,1.0,1.0,1.0
capsules,98aea145bbef2f2f060d0a8b,grid8,1.0,1.0,1.0,1.0
capsules,98aea145bbef2f2f060d0a8b,mixed8,1.0,1.0,1.0,1.0
capsules,98aea145bbef2f2f060d0a8b,top8,1.0,1.0,1.0,1.0
capsules,9d8aa15592ea05df0ee5d4d6,grid8,0.0,0.0,0.0,0.0
capsules,9d8aa15592ea05df0ee5d4d6,mixed8,1.0,1.0,1.0,1.0
capsules,9d8aa15592ea05df0ee5d4d6,top8,1.0,1.0,1.0,1.0
capsules,9ffaa14ec0fab9931f2cb5c3,grid8,1.0,1.0,1.0,1.0
capsules,9ffaa14ec0fab9931f2cb5c3,mixed8,1.0,1.0,1.0,1.0
capsules,9ffaa14ec0fab9931f2cb5c3,top8,1.0,1.0,1.0,1.0
capsules,a1ee847507401a76c6f0e428,grid8,1.0,1.0,1.0,1.0
capsules,a1ee847507401a76c6f0e428,mixed8,1.0,1.0,1.0,1.0
capsules,a1ee847507401a76c6f0e428,top8,1.0,1.0,1.0,1.0
capsules,a2f26a5fbd8b77618e5176d2,grid8,0.0,0.0,0.0,0.0
capsules,a2f26a5fbd8b77618e5176d2,mixed8,1.0,1.0,1.0,1.0
capsules,a2f26a5fbd8b77618e5176d2,top8,1.0,1.0,1.0,1.0
