image_id,category,stratum,component_id,kind,method,best_window_coverage,union_coverage,recalled50,recalled90
09dc9cfb0f5f0c6e5358d145,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
09dc9cfb0f5f0c6e5358d145,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
09dc9cfb0f5f0c6e5358d145,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
35ed1b29dc27265ecc7a2bb5,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
35ed1b29dc27265ecc7a2bb5,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
35ed1b29dc27265ecc7a2bb5,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
45dd9375e0018b2b01b0ca8e,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
45dd9375e0018b2b01b0ca8e,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
45dd9375e0018b2b01b0ca8e,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
43c3e7b030bf71e4a1e156d7,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
43c3e7b030bf71e4a1e156d7,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
43c3e7b030bf71e4a1e156d7,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
c36619b63c9043eed4c5849b,capsules,mixed_tiny,1,larger,top8,1.0,1.0,True,True
c36619b63c9043eed4c5849b,capsules,mixed_tiny,2,tiny_compact,top8,1.0,1.0,True,True
c36619b63c9043eed4c5849b,capsules,mixed_tiny,3,tiny_compact,top8,0.0,0.0,False,False
c36619b63c9043eed4c5849b,capsules,mixed_tiny,1,larger,grid8,0.0,0.0,False,False
c36619b63c9043eed4c5849b,capsules,mixed_tiny,2,tiny_compact,grid8,0.0,0.0,False,False
c36619b63c9043eed4c5849b,capsules,mixed_tiny,3,tiny_compact,grid8,1.0,1.0,True,True
c36619b63c9043eed4c5849b,capsules,mixed_tiny,1,larger,mixed8,1.0,1.0,True,True
c36619b63c9043eed4c5849b,capsules,mixed_tiny,2,tiny_compact,mixed8,1.0,1.0,True,True
c36619b63c9043eed4c5849b,capsules,mixed_tiny,3,tiny_compact,mixed8,0.0,0.0,False,False
6d5929d061d0833f7db7f212,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
6d5929d061d0833f7db7f212,capsules,other_anomaly,1,larger,grid8,0.6114369501466276,0.6114369501466276,True,False
6d5929d061d0833f7db7f212,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
25af3dad41b1dd1d352cfeb9,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
25af3dad41b1dd1d352cfeb9,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
25af3dad41b1dd1d352cfeb9,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
b55514a565c6afe55eec2519,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
b55514a565c6afe55eec2519,capsules,other_anomaly,1,larger,grid8,0.0,0.0,False,False
b55514a565c6afe55eec2519,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
42e847a39519793337b1bcc3,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
42e847a39519793337b1bcc3,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
42e847a39519793337b1bcc3,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
721f15c7da361dff53afdf8c,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
721f15c7da361dff53afdf8c,capsules,tiny_only,1,tiny_compact,grid8,0.5135135135135135,1.0,True,False
721f15c7da361dff53afdf8c,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
c2901b191e7526e7a08e1eea,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
c2901b191e7526e7a08e1eea,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
c2901b191e7526e7a08e1eea,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
62b5760cd361553de8da2449,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
62b5760cd361553de8da2449,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
62b5760cd361553de8da2449,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
81bcf0781bf56862fae25e1a,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
81bcf0781bf56862fae25e1a,capsules,tiny_only,1,tiny_compact,grid8,0.12980769230769232,0.12980769230769232,False,False
81bcf0781bf56862fae25e1a,capsules,tiny_only,1,tiny_compact,mixed8,0.0,0.0,False,False
55ad57b3e25e9cd7d640dbfe,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
55ad57b3e25e9cd7d640dbfe,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
55ad57b3e25e9cd7d640dbfe,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
9ffaa14ec0fab9931f2cb5c3,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
9ffaa14ec0fab9931f2cb5c3,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
9ffaa14ec0fab9931f2cb5c3,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
98aea145bbef2f2f060d0a8b,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
98aea145bbef2f2f060d0a8b,capsules,tiny_only,2,tiny_compact,top8,1.0,1.0,True,True
98aea145bbef2f2f060d0a8b,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
98aea145bbef2f2f060d0a8b,capsules,tiny_only,2,tiny_compact,grid8,1.0,1.0,True,True
98aea145bbef2f2f060d0a8b,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
98aea145bbef2f2f060d0a8b,capsules,tiny_only,2,tiny_compact,mixed8,1.0,1.0,True,True
3b66f59f9c5ac43c885e27ed,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
3b66f59f9c5ac43c885e27ed,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
3b66f59f9c5ac43c885e27ed,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
80c79373680ca72bd693d783,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
80c79373680ca72bd693d783,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
80c79373680ca72bd693d783,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
30f48754fa679c36708dda03,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
30f48754fa679c36708dda03,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
30f48754fa679c36708dda03,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
7de613b617ed3cbafbc6b3c9,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
7de613b617ed3cbafbc6b3c9,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
7de613b617ed3cbafbc6b3c9,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
71af10410082da9596ced49b,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
71af10410082da9596ced49b,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
71af10410082da9596ced49b,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
e29e79ba3e27a55803f6acea,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
e29e79ba3e27a55803f6acea,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
e29e79ba3e27a55803f6acea,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
804fa77a446eb0413bbb56f8,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
804fa77a446eb0413bbb56f8,capsules,tiny_only,1,tiny_compact,grid8,1.0,1.0,True,True
804fa77a446eb0413bbb56f8,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
346c5897461de3a44f7daf03,capsules,tiny_only,1,tiny_compact,top8,1.0,1.0,True,True
346c5897461de3a44f7daf03,capsules,tiny_only,1,tiny_compact,grid8,0.0,0.0,False,False
346c5897461de3a44f7daf03,capsules,tiny_only,1,tiny_compact,mixed8,1.0,1.0,True,True
05b91854e3218bb7fff74ab9,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
05b91854e3218bb7fff74ab9,capsules,other_anomaly,1,larger,grid8,0.17996780128794848,0.3215271389144434,False,False
05b91854e3218bb7fff74ab9,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
efaa48865bd8733baeea305f,capsules,other_anomaly,1,larger,top8,1.0,1.0,True,True
efaa48865bd8733baeea305f,capsules,other_anomaly,1,larger,grid8,1.0,1.0,True,True
efaa48865bd8733baeea305f,capsules,other_anomaly,1,larger,mixed8,1.0,1.0,True,True
