dataset,category,role,normal_images,teacher_hard_normals
AD2,can,target_public_development,72,30
AD2,fabric,target_public_development,66,8
AD2,fruit_jelly,target_public_development,20,0
AD2,rice,target_public_development,42,9
AD2,sheet_metal,target_public_development,24,7
AD2,vial,target_public_development,35,2
AD2,wallplugs,target_public_development,60,9
AD2,walnuts,target_public_development,60,12
VisA,candle,source_development_holdout,100,3
VisA,capsules,source_fit,60,6
VisA,cashew,source_validation,50,0
VisA,chewinggum,source_fit,50,0
VisA,fryum,source_fit,50,5
VisA,macaroni1,source_fit,100,1
VisA,macaroni2,source_fit,100,7
VisA,pcb1,source_development_holdout,100,4
VisA,pcb2,source_fit,100,6
VisA,pcb3,source_fit,101,6
VisA,pcb4,source_fit,101,11
VisA,pipe_fryum,source_validation,50,9
