repeat,full_vlm_calls,selective_vlm_calls,actual_calls_saved,actual_call_saving_rate,full_eval_images,selective_eval_images,full_elapsed_sec,selective_elapsed_sec,wall_time_saved_sec,wall_time_saving_rate,speedup,full_peak_gpu_allocated_mib,selective_peak_gpu_allocated_mib
1,1725,1294,431,0.24985507246376815,3163,2543,1787.3302149951924,1405.5953709199093,381.73484407528304,0.21357824137511705,1.2715823144931475,603.08984375,603.08984375
2,1725,1294,431,0.24985507246376815,3163,2543,1781.434620434884,1403.6319044989068,377.8027159359772,0.21207778921673137,1.2691608210992125,603.08984375,603.08984375
3,1725,1294,431,0.24985507246376815,3163,2543,1750.1465245911386,1436.9161294009537,313.23039519018494,0.1789738120717409,1.2179879456992175,603.08984375,603.08984375
