category,image_path,threshold,patchcore_component_iou,patchcore_component_f1,sam2_box_sam_score_iou,sam2_box_sam_score_f1,sam2_box_anomaly_select_iou,sam2_box_anomaly_select_f1,sam2_box_point_anomaly_select_iou,sam2_box_point_anomaly_select_f1,sam2_box_sam_score,sam2_box_anomaly_sam_score,sam2_box_point_anomaly_sam_score,sam2_box_anomaly_consistency,sam2_box_point_anomaly_consistency,visual_path
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,0.7999999999999999,0.14149443561208266,0.2479108635097493,0.15286624203821655,0.26519337016574585,0.15286624203821655,0.26519337016574585,0.13095238095238096,0.23157894736842105,0.5140194296836853,0.5140194296836853,0.028720669448375702,0.7339968897487664,0.7657249714796633,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0001_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,0.7999999999999999,0.19029126213592232,0.3197389885807504,0.1892430278884462,0.31825795644891125,0.1892430278884462,0.31825795644891125,0.19791666666666666,0.33043478260869563,0.0483078807592392,0.0483078807592392,0.016065414994955063,0.9045874043260973,0.8978942772605568,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0002_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,0.7999999999999999,0.14769975786924938,0.25738396624472576,0.0388739946380697,0.07483870967741936,0.05089820359281437,0.09686609686609686,0.17482517482517482,0.2976190476190476,0.40558958053588867,0.2745645046234131,2.6612715373630635e-05,0.7785026832185863,0.8704306200257755,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0003_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,0.7999999999999999,0.2732166890982503,0.42917547568710357,0.22252747252747251,0.36404494382022473,0.22252747252747251,0.36404494382022473,0.24157303370786518,0.3891402714932127,0.7424657344818115,0.7424657344818115,0.29557833075523376,0.9007666156241471,0.9155442402844135,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0004_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/007.png,0.7999999999999999,0.43558282208588955,0.6068376068376068,0.435,0.6062717770034843,0.435,0.6062717770034843,0.41855670103092785,0.5901162790697675,0.022373661398887634,0.022373661398887634,0.0015807149466127157,0.9238219366402819,0.8993226833800051,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0005_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/009.png,0.7999999999999999,0.20729588882455124,0.3434052757793765,0.17593040115998065,0.2992190711056309,0.17593040115998065,0.2992190711056309,0.17688442211055277,0.300597779675491,0.005783165339380503,0.005783165339380503,0.004368873778730631,0.9448618971468465,0.9325522919553898,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0006_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/011.png,0.7999999999999999,0.2529118136439268,0.4037184594953519,0.04873949579831933,0.09294871794871795,0.06988783433994823,0.13064516129032258,0.1437282229965157,0.25133282559025133,0.844275712966919,0.7627715468406677,0.08521709591150284,0.756681613447456,0.8261762216486622,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0007_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/002.png,0.7999999999999999,0.1545138888888889,0.26766917293233083,0.153184165232358,0.2656716417910448,0.153184165232358,0.2656716417910448,0.17416829745596868,0.2966666666666667,0.004052978474646807,0.004052978474646807,0.0012188247637823224,0.8319311519058383,0.8130487675164021,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0008_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/003.png,0.7999999999999999,0.23755458515283842,0.38390966831333806,0.2244541484716157,0.3666191155492154,0.2244541484716157,0.3666191155492154,0.21966911764705882,0.3602110022607385,0.12950237095355988,0.12950237095355988,0.05427958816289902,0.9425447001012147,0.9271036692992264,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0009_anomaly_aware_sam2.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/004.png,0.7999999999999999,0.18020679468242246,0.3053817271589487,0.18154761904761904,0.30730478589420657,0.18154761904761904,0.30730478589420657,0.18083462132921174,0.306282722513089,0.0032042083330452442,0.0032042083330452442,0.010101200081408024,0.9690784554058924,0.9681766539753767,results/analysis/sam2_anomaly_aware_selection/MVTecAD/grid/anomaly_aware_sam2/grid_0010_anomaly_aware_sam2.png
