category,response_negative_fraction,appearance_abs_gradient_share
candle,0.0045312500000000006,0.37640527389458006
capsules,0.011513671875,0.4131073999321699
cashew,0.006673280423280425,0.3932094557690697
chewinggum,0.011197916666666669,0.41979783138834015
fryum,0.0011458333333333336,0.3643936751715555
macaroni1,0.0,0.449291315764647
macaroni2,0.00019531249999999996,0.37037507050505847
pcb1,7.8125e-05,0.4175796110106214
pcb2,0.0038671875000000004,0.3905965961881299
pcb3,0.006700870646766167,0.44099445483269234
pcb4,0.012008706467661692,0.44793126269420946
pipe_fryum,0.023697916666666666,0.45757496629459055
