variant_id,method,macro_image_auroc,macro_image_ap,macro_best_f1,pooled_image_auroc,pooled_image_ap,pooled_best_f1,potential_call_rate
D0,Detector only,0.7853284416491964,0.9185660201693959,0.8716937960005001,0.8060280759702725,0.9170877426761337,0.8549222797927462,
M0,Crop VLM only,0.6524318658280923,0.8318405863536735,0.8446850183754094,0.6608175061932288,0.8285217688370735,0.8317307692307693,
V3,Naive detector-crop fusion,0.828633822501747,0.9327468734754234,0.8740540128166006,0.8473162675474815,0.9402820458045396,0.8611111111111112,
V4,Old Quality-Calibrated QCR,0.8191194968553459,0.9293163303439033,0.881053901850362,0.8433526011560695,0.9365631987612171,0.8547945205479452,
V6,Old Adaptive QCR,0.8193815513626834,0.9293957408006722,0.881053901850362,0.8436829066886871,0.9367330541746708,0.8547945205479452,
S1,SRB-QCR frozen transfer,0.7939220824598183,0.9232344563646415,0.8682718958394695,0.8143682906688687,0.9228765961493084,0.8493827160493828,0.7489711934156379
