backbone,strategy,eval_mode,debiased_method,num_images,num_normal,num_anomaly,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0456892863517778,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.12403023215523212,0.09455509202599954,0.1806257619458238,0.2266419981498612
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,2162,962,1200,0.5550416281221091,0.9780795218295218,0.9840066029905705,0.9346105789254477,0.927382053654024,0.36583301086339215,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.10710975398475397,0.08092018186073824,0.12026146649941227,0.15957446808510634
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,2162,962,1200,0.5550416281221091,0.9613937976437976,0.9723726248091994,0.9059548254620123,0.8940795559666975,0.34855860510646247,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.09042402979902975,0.06928620367936711,0.09160571303597687,0.12627197039777982
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,2162,962,1200,0.5550416281221091,0.9263019750519751,0.9461297987388445,0.8604554865424431,0.8441258094357077,0.41412809112661264,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.05533220720720722,0.04304337760901222,0.04610637411640761,0.07631822386678999
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,2162,962,1200,0.5550416281221091,0.9221292446292446,0.9420715350132918,0.8623248145094806,0.845513413506013,0.385063258278422,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.05115947678447674,0.03898511388345949,0.04797570208344515,0.07770582793709524
FastFlow,inspection_binary,crop_or_full,detector_only,2162,962,1200,0.5550416281221091,0.8954946292446292,0.9197617517603836,0.8447507093635995,0.8228492136910268,0.3807406444496714,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.02452486139986132,0.016675330630551266,0.030401596937564057,0.05504162812210911
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,2162,962,1200,0.5550416281221091,0.8946881496881497,0.923444310470865,0.8304140127388535,0.8029602220166513,0.38610435228269785,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.02371838184338182,0.020357889341032664,0.016064900312818042,0.03515263644773359
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,2162,962,1200,0.5550416281221091,0.8826152113652114,0.9143923043348957,0.8213861386138613,0.7913968547641073,0.3429242619799107,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.0116454435204435,0.011305883205063427,0.007037026187825868,0.023589269195189555
FastFlow,inspection_binary,crop_or_full,vlm_only,2162,962,1200,0.5550416281221091,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.2942869877962596,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,2162,962,1200,0.5550416281221091,0.725,0.8672569857596354,0.8405797101449275,0.84736355226642,0.5000981140807861,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,-0.1459697678447679,-0.035829435370196894,0.026230597718892024,0.07955596669750231
