backbone,strategy,eval_mode,fusion_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,candle,200,100,100,True,0.5,0.9977,0.9980634527089072,0.99,0.99,0.3121789495180764,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.04060000000000008,0.03628422987503788,0.08268292682926826,0.08499999999999996
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,candle,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.1719393430515501,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.037900000000000045,0.038220777166130704,0.08765780120112754,0.08999999999999997
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,candle,200,100,100,True,0.5,0.9915,0.9944443938768078,0.9850746268656716,0.985,0.2959275580364399,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.0344000000000001,0.032665171042938534,0.07775755369493986,0.07999999999999996
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,candle,200,100,100,True,0.5,0.9903,0.9923178188560012,0.9644670050761421,0.965,0.39251448312332,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.03320000000000001,0.030538596022131936,0.0571499319054104,0.05999999999999994
FastFlow,inspection_binary,crop_or_full,detector_only,candle,200,100,100,True,0.5,0.9638,0.9659291762956387,0.9154228855721394,0.915,0.5039169373442006,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.006700000000000039,0.0041499534617693845,0.00810581240140762,0.010000000000000009
FastFlow,inspection_binary,crop_or_full,vlm_only,candle,200,100,100,True,0.5,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.269991700224405,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,vlm_only,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.3860998126540172,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.4160346653224899,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.4355113123415149,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,capsules,160,60,100,True,0.625,0.9991666666666666,0.9995008706512908,0.9900990099009901,0.9875,0.4139328368005756,1.0,1.0,1.0,1.0,-0.0008333333333333526,-0.0004991293487092152,-0.00990099009900991,-0.012499999999999956
