backbone,strategy,eval_mode,fusion_method,num_images,num_normal,num_anomaly,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.04568928635177784,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.12403023215523212,0.09455509202599954,0.1806257619458238,0.2266419981498612
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.9780795218295218,0.9840066029905705,0.9346105789254477,0.927382053654024,0.36583301086339215,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.10710975398475397,0.08092018186073824,0.12026146649941227,0.15957446808510634
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.9613937976437976,0.9723726248091994,0.9059548254620123,0.8940795559666975,0.34855860510646247,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.09042402979902975,0.06928620367936711,0.09160571303597687,0.12627197039777982
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.9410698198198199,0.9562421363936202,0.8811244979919679,0.8630897317298798,0.39054241408163265,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.07010005197505198,0.05315571526378793,0.06677538556593243,0.09528214616096209
FastFlow,inspection_binary,crop_or_full,detector_only,2162,962,1200,0.5550416281221091,0.8954946292446292,0.9197617517603836,0.8447507093635995,0.8228492136910268,0.38074064444967143,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.02452486139986132,0.016675330630551266,0.030401596937564057,0.05504162812210911
FastFlow,inspection_binary,crop_or_full,vlm_only,2162,962,1200,0.5550416281221091,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.29428698779625967,0.8709697678447679,0.9030864211298323,0.8143491124260355,0.7678075855689177,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.04568928635177784,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.06807952182952182,0.049185507942563156,0.11808325882993698,0.133672525439408
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.989772176022176,0.9924830451557047,0.9581239530988275,0.9537465309898242,0.3566041414891905,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.06285169785169786,0.044027039942436064,0.08123233755690518,0.0929694727104533
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.9806271656271657,0.9865371896829025,0.9427860696517413,0.9361702127659575,0.3355272100635178,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.053706687456687496,0.03808118446963382,0.06589445410981898,0.07539315448658657
FastFlow,inspection_binary,crop_topk_ensemble,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.9678542966042966,0.9765358013080663,0.9173447537473234,0.9107308048103607,0.4384483828574104,0.9269204781704782,0.9484560052132687,0.8768916155419223,0.8607770582793709,0.04093381843381838,0.028079796094797604,0.040453138205401085,0.04995374653098983
