category,threshold,mean_pixel_f1,num_samples
leather,0.05,0.02137715992220626,46
leather,0.1,0.03252931220109701,46
leather,0.15,0.06313539867342244,46
leather,0.2,0.09777725332001604,46
leather,0.25,0.12639876888623286,46
leather,0.3,0.1513191206738859,46
leather,0.35,0.1742228735303739,46
leather,0.39999999999999997,0.19684080155950895,46
leather,0.44999999999999996,0.22171065804454387,46
leather,0.49999999999999994,0.24808665906447808,46
leather,0.5499999999999999,0.2763453738535505,46
leather,0.6,0.3079771477482076,46
leather,0.65,0.3432743391825616,46
leather,0.7,0.3818304135377272,46
leather,0.75,0.422580552027921,46
leather,0.7999999999999999,0.4591469768077893,46
leather,0.85,0.4937655677366814,46
leather,0.9,0.5059454851697582,46
leather,0.95,0.44039327839217224,46
