category,best_threshold,best_mean_pixel_f1,num_samples
grid,0.7999999999999999,0.4778475775132675,28
screw,0.85,0.4105767596796222,60
leather,0.9,0.5059454851697582,46
wood,0.7,0.496406699478708,30
