category,threshold,mean_pixel_f1,num_samples
screw,0.05,0.009349756492225749,60
screw,0.1,0.009479055598074965,60
screw,0.15,0.009986222244191767,60
screw,0.2,0.011673042540044294,60
screw,0.25,0.016836035778088173,60
screw,0.3,0.02680325184485878,60
screw,0.35,0.043531632057996004,60
screw,0.39999999999999997,0.06602890998244629,60
screw,0.44999999999999996,0.09212357544838241,60
screw,0.49999999999999994,0.12268398967620094,60
screw,0.5499999999999999,0.16188275840948138,60
screw,0.6,0.2079798183047225,60
screw,0.65,0.25654683815581164,60
screw,0.7,0.30917961605907157,60
screw,0.75,0.35842651127004105,60
screw,0.7999999999999999,0.3938851771743915,60
screw,0.85,0.4105767596796222,60
screw,0.9,0.3972978392048241,60
screw,0.95,0.29860730390807777,60
