scope,method,baseline,delta,lower95,upper95,categories,categories_improved
all,fusion_frozen,D_z,0.02686094218832314,-0.004262449108431261,0.05949367273213998,8,5
all,dino_max,D_z,-0.009860860590027252,-0.07209564161312675,0.0506606869073386,8,4
all,dino_top1,D_z,-0.009308046450903596,-0.06525100262116636,0.047372037767126986,8,4
tiny_only,fusion_frozen,D_z,-0.01535262356690928,-0.08060496976568404,0.041761894520823066,7,4
tiny_only,dino_max,D_z,-0.09477985638699926,-0.1960613430881288,0.002952260041545743,7,3
tiny_only,dino_top1,D_z,-0.0880843230843231,-0.18013508317079743,-0.0008343927897500302,7,3
