scope,method,auroc,ap
AD2_public_all,D_z,0.7314441466822419,0.829981092010138
AD2_public_all,dino_max,0.7215832860922147,0.818444568226534
AD2_public_all,dino_top1,0.7221361002313383,0.8217788468940938
AD2_public_all,fusion_frozen,0.7583050888705651,0.8405491048408504
tiny_only_plus_all_normal,D_z,0.6709466789823934,0.6020868480577539
tiny_only_plus_all_normal,dino_max,0.576166822595394,0.5315898915219744
tiny_only_plus_all_normal,dino_top1,0.5828623558980702,0.5219788362908879
tiny_only_plus_all_normal,fusion_frozen,0.6555940554154839,0.598328713329507
