scope,method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
AD2_public_all,fusion_frozen,D_z,0.02686094218832314,0.009671168232391504,0.0443291677278569,5,8,2000
AD2_public_all,dino_max,D_z,-0.009860860590027252,-0.044288026989986656,0.02180147020694609,4,8,2000
AD2_public_all,dino_top1,D_z,-0.009308046450903596,-0.0393439951650751,0.020991252752084463,4,8,2000
tiny_only_plus_all_normal,fusion_frozen,D_z,-0.01535262356690928,-0.05448721493595513,0.019676139381361982,4,7,2000
tiny_only_plus_all_normal,dino_max,D_z,-0.09477985638699926,-0.15013790105212957,-0.03742816350156996,3,7,2000
tiny_only_plus_all_normal,dino_top1,D_z,-0.0880843230843231,-0.1388418318145953,-0.040954908101391164,3,7,2000
