category,caliper,response_42,response_123,response_2026,map_42,map_123,map_2026,full_42,full_123,full_2026
candle,0.01,0.49132516538048837,0.49112166529828377,0.49112166529828377,0.6430588170558542,0.6504290315148594,0.660546919801733,0.8441711613437631,0.8694494132484708,0.8744389757022752
candle,0.05,0.4965470741083334,0.4963435740261288,0.4963435740261288,0.6418139687278769,0.6478228138370828,0.6563344113119356,0.8389541834265322,0.8706589938847573,0.8750076251370567
candle,0.1,0.5233825297765834,0.5231834060402327,0.5231834060402327,0.6433305602560762,0.6604499998752789,0.6675343023993636,0.8472282681413876,0.8756231088792125,0.8793689616585291
capsules,0.01,0.4297920792926977,0.4297920792926977,0.4297920792926977,0.5749610964622762,0.5813442263062354,0.5636778744742458,0.7238263825391545,0.7286143006273994,0.7210607413708428
capsules,0.05,0.46132589349659475,0.46132589349659475,0.46132589349659475,0.5802152129117308,0.5889286632399734,0.569952964555563,0.7165551849799913,0.7237099174228383,0.7156074449601697
capsules,0.1,0.49307065297450337,0.49307065297450337,0.49307065297450337,0.5846684237143823,0.5953421942623598,0.5768578317725942,0.708792469242499,0.7153792322302858,0.7086690510844901
cashew,0.01,0.5324377826090609,0.5324377826090609,0.5324377826090609,0.6389627447456456,0.6351567377032858,0.6414769899644209,0.8374364123250662,0.8516931280996023,0.8444686928826771
cashew,0.05,0.5228990513417456,0.5228990513417456,0.5228990513417456,0.6329934963749515,0.6322080770300494,0.6342808347609308,0.8414888535936673,0.8518607876367039,0.843657525214884
cashew,0.1,0.5350317489769724,0.5350317489769724,0.5350317489769724,0.6352422378957272,0.6347453167868985,0.6342849695020252,0.8370198549495803,0.8502071196834247,0.8398735574550099
chewinggum,0.01,0.47656162683065834,0.47656162683065834,0.47656162683065834,0.6250808218179585,0.6352628908761135,0.6232271975317558,0.7516084257271383,0.7582714313810522,0.7891632928089662
chewinggum,0.05,0.5172748313641843,0.5172748313641843,0.5172748313641843,0.6227656157664311,0.6324569708035316,0.6217477225962981,0.7600776876932309,0.7634760788929316,0.7960940003395081
chewinggum,0.1,0.5133547552941758,0.5133547552941758,0.5133547552941758,0.6176112795501579,0.6270924347602291,0.6167157782632627,0.7547024293446246,0.7581001367465949,0.7844894035362903
fryum,0.01,0.50661692644159,0.50661692644159,0.50661692644159,0.5392425129345307,0.5678407216910273,0.5437315369490534,0.8143454050490012,0.8330917628481984,0.8323433330127349
fryum,0.05,0.5098239653503772,0.5098239653503772,0.5098239653503772,0.5473518116572469,0.5793234541551354,0.5512356920955107,0.8245107944017833,0.8379084449453452,0.8367499851228035
fryum,0.1,0.5151513919387896,0.5151513919387896,0.5151513919387896,0.5472821451954006,0.5781846396701852,0.5515452995128238,0.8256392550376273,0.8377633254552624,0.8366007541411931
macaroni1,0.01,0.5114407392218709,0.5114407392218709,0.5114407392218709,0.6322100774385035,0.675586050748825,0.6587926121428609,0.9462867889553308,0.9579404581338167,0.9629663493484258
macaroni1,0.05,0.5447896106375588,0.5447896106375588,0.5447896106375588,0.6241771095880756,0.6689640522739033,0.6518501630167902,0.9465986841622694,0.9564512164136509,0.9627576981797631
macaroni1,0.1,0.5642286761697516,0.5642286761697516,0.5642286761697516,0.6370973379676601,0.683559686304575,0.6638008347117758,0.9488791399691479,0.9589113190949682,0.9638144578560289
macaroni2,0.01,0.5070851110381844,0.5070851110381844,0.5070851110381844,0.7470423235661454,0.7177382232046422,0.7410096388632132,0.918807858026322,0.9273970992660817,0.9258551132163884
macaroni2,0.05,0.5341404338435429,0.5341404338435429,0.5341404338435429,0.7513204001617141,0.7242528453196694,0.7419900328556939,0.91958081413333,0.9275378746593871,0.9294996170735941
macaroni2,0.1,0.5650495858419509,0.5650495858419509,0.5650495858419509,0.7600482148783547,0.7338368530784335,0.7507951384676355,0.9219452165776775,0.9289935860960257,0.9314527873482022
pcb1,0.01,0.5052700933246386,0.5052700933246386,0.5052700933246386,0.6396279782056808,0.6346500013910589,0.6366380650017943,0.7223160972463942,0.7350690828724986,0.7267962102556512
pcb1,0.05,0.4912093467123452,0.4912093467123452,0.4912093467123452,0.647889757972388,0.6453694227550711,0.6472543431889444,0.7380784040405637,0.7548002111947253,0.7449308015583527
pcb1,0.1,0.49901978873154695,0.49901978873154695,0.49901978873154695,0.656145997783717,0.6516463481328066,0.6559087073101717,0.7443024751018076,0.7617538796628223,0.7512140634305337
pcb2,0.01,0.5322393605796,0.5322393605796,0.5320597630925477,0.627932486978049,0.6063519954138125,0.6189357282904288,0.82683598001798,0.8282595110746721,0.819739988228927
pcb2,0.05,0.5393733250111649,0.5393733250111649,0.5392015032547036,0.6426704428782782,0.6247121597227362,0.6353247714872213,0.8278558088332107,0.8314726271272934,0.8212528131979028
pcb2,0.1,0.5478590262919357,0.5478590262919357,0.5476872045354745,0.6410916539427546,0.6236754243367726,0.6346869079261711,0.823390260185163,0.828695095537864,0.8179054212631639
pcb3,0.01,0.5234422230406811,0.5234422230406811,0.5234422230406811,0.6542852321737691,0.6597743500220148,0.6584177548948087,0.79295737319871,0.7837032440461611,0.7743269324302673
pcb3,0.05,0.5364922373555601,0.5364922373555601,0.5364922373555601,0.6643795842925707,0.668854286428541,0.6671458715572953,0.8005083375998462,0.7789006309273342,0.7836134431806082
pcb3,0.1,0.5387075397464418,0.5387075397464418,0.5387075397464418,0.6567902841518835,0.6612239287993342,0.6593882542910036,0.8023768085026249,0.7812863336395972,0.7850132650628532
pcb4,0.01,0.4795460167684053,0.4795460167684053,0.4795460167684053,0.4775945354841257,0.4768468313703412,0.4640347224709235,0.6795796451599975,0.6736743184688844,0.6799059211423523
pcb4,0.05,0.47299626308310894,0.47299626308310894,0.47299626308310894,0.47395638211332647,0.4741310788721768,0.46119993905892076,0.662213306989252,0.6550221373663121,0.6614734486667151
pcb4,0.1,0.4889148814008408,0.4889148814008408,0.4889148814008408,0.4813201434756677,0.4814995921687367,0.4685729392948224,0.6653525230964434,0.6573929861571985,0.6645376632354923
pipe_fryum,0.01,0.5439974976385512,0.5439974976385512,0.5439974976385512,0.7592168719303317,0.7556661407395107,0.7579345343316474,0.8702363404558926,0.8869550920477728,0.8872777830536772
pipe_fryum,0.05,0.5502737203524226,0.5502737203524226,0.5502737203524226,0.7590030451260862,0.7538629530795983,0.7555302074622541,0.8742677411507993,0.8907692091805595,0.8901351896070299
pipe_fryum,0.1,0.5694415087616721,0.5694415087616721,0.5694415087616721,0.7528747134777003,0.7480335623718971,0.7496922863430755,0.8800493127038312,0.895713442979857,0.8945647672165272
