dataset,backbone,num_test_images,num_test_anomaly,image_auroc,image_ap,image_best_f1,pixel_auroc,pixel_ap,pixel_best_f1,candidate_coverage_ratio,covered_anomaly_images,num_anomaly_images,num_candidate_rows
VisA,PatchCore,2162,1200,0.9137511138613864,0.9258493235926832,0.8842918468986579,0.8971161399559371,0.1058844579197544,0.1814042671527278,1.0,1200,1200,1544
VisA,FastFlow,2162,1200,0.8933886826182619,0.9134268971686867,0.8630355979712183,0.9511185361827152,0.1808844363929948,0.2573370148349851,0.9991666666666666,1199,1200,2354
