backbone,candidate_coverage_ratio,reason_full_auroc,reason_crop_auroc,delta_auroc,reason_full_best_f1,reason_crop_best_f1,delta_best_f1
PatchCore,1.0,0.5949971397139714,0.8844370187018701,0.2894398789878987,0.7394776790909408,0.8783189493629032,0.1388412702719624
FastFlow,0.9991666666666666,0.5949971397139714,0.9221857260726072,0.3271885863586358,0.7394776790909408,0.9042398243985746,0.1647621453076339
