method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
percentile_42,full_42,-0.007364218921892187,-0.010784057082564998,-0.004288217688483287,2,12,2000
percentile_123,full_123,-0.006897469746974697,-0.010292742363191996,-0.0038814045990317038,3,12,2000
percentile_2026,full_2026,-0.007277035203520354,-0.01068500790736566,-0.004032667623102642,4,12,2000
robust_42,full_42,-0.004523899889988999,-0.007790019694539118,-0.0015226024076878519,4,12,2000
robust_123,full_123,-0.005999944994499451,-0.009564794873534626,-0.0025868762336888405,6,12,2000
robust_2026,full_2026,-0.005412898789878988,-0.0088576119344266,-0.0022115937895964993,4,12,2000
