category,method,value,keep_largest,num_samples,mean_iou,mean_f1,mean_pred_area,mean_threshold
screw,fixed,0.05,False,60,0.004707053865524115,0.009357665239842085,49934.0,0.04999999999999998
screw,fixed,0.05,True,60,0.004707143471801857,0.009357843288188998,49932.53333333333,0.04999999999999998
screw,fixed,0.1,False,60,0.004790882406037371,0.00952295031998716,49206.28333333333,0.09999999999999996
screw,fixed,0.1,True,60,0.004791335573817353,0.009523842610735734,49202.78333333333,0.09999999999999996
screw,fixed,0.15,False,60,0.005110249212224406,0.01015129230282249,46944.8,0.15000000000000002
screw,fixed,0.15,True,60,0.0051247316119974315,0.010179864907236073,46855.933333333334,0.15000000000000002
screw,fixed,0.2,False,60,0.00608297300842986,0.012054749885610231,42205.0,0.19999999999999993
screw,fixed,0.2,True,60,0.006449596061620169,0.012737773790212448,41495.63333333333,0.19999999999999993
screw,fixed,0.25,False,60,0.008819087813642174,0.017314052848155882,35085.666666666664,0.25
screw,fixed,0.25,True,60,0.010256521913122488,0.019827010967061527,33654.76666666667,0.25
screw,fixed,0.3,False,60,0.013865820831966368,0.026822956546084673,27109.0,0.30000000000000004
screw,fixed,0.3,True,60,0.018758664590511533,0.03547290080693348,23565.466666666667,0.30000000000000004
screw,fixed,0.35,False,60,0.023213427544863788,0.04375926325760004,19893.833333333332,0.35000000000000014
screw,fixed,0.35,True,60,0.029412982621087116,0.053976891413496215,15234.9,0.35000000000000014
screw,fixed,0.39999999999999997,False,60,0.03566523018988108,0.0656189917019832,14074.983333333334,0.39999999999999986
screw,fixed,0.39999999999999997,True,60,0.04549984921751906,0.08175023398237923,9886.65,0.39999999999999986
screw,fixed,0.44999999999999996,False,60,0.05231069911721011,0.09365439893166426,9710.866666666667,0.45
screw,fixed,0.44999999999999996,True,60,0.06248834695355245,0.10921333243119141,5980.6,0.45
screw,fixed,0.49999999999999994,False,60,0.07301425179641975,0.12726383302218333,6624.2,0.49999999999999994
screw,fixed,0.49999999999999994,True,60,0.0823328583178238,0.13961949186115336,3684.483333333333,0.49999999999999994
screw,fixed,0.5499999999999999,False,60,0.09875000452775194,0.16718798634068036,4510.866666666667,0.5499999999999999
screw,fixed,0.5499999999999999,True,60,0.10367980391475515,0.17019640315276102,2622.8333333333335,0.5499999999999999
screw,fixed,0.6,False,60,0.1317466924088822,0.2153373670981472,3038.0333333333333,0.6000000000000001
screw,fixed,0.6,True,60,0.13257248479289524,0.2107424397643477,1766.0666666666666,0.6000000000000001
screw,fixed,0.65,False,60,0.16734633878516572,0.26441512088102387,2079.9666666666667,0.6499999999999999
screw,fixed,0.65,True,60,0.16322497059918117,0.2510617673423062,1361.4166666666667,0.6499999999999999
screw,fixed,0.7,False,60,0.20441363861796752,0.31309485132196546,1456.9333333333334,0.7000000000000003
