metric,num_categories,efficientad30_mean,efficientad100_mean,mean_delta_100_minus_30,num_100_better,num_100_worse,num_equal
image_AUROC,4,0.7604262679815292,0.7656594961881638,0.005233228206634494,1,3,0
image_F1Score,4,0.8423123806715012,0.8585459291934967,0.016233548521995544,2,2,0
pixel_AUROC,4,0.8092912882566452,0.8346343785524368,0.025343090295791626,4,0,0
pixel_F1Score,4,0.310419206507504,0.32979630678892136,0.019377100281417398,3,1,0
