category,num_samples,num_train_samples,num_eval_samples,raw_tuned_threshold,calibrated_tuned_threshold,eval_raw_iou,eval_raw_f1,eval_calibrated_iou,eval_calibrated_f1,eval_delta_f1,training_log,raw_eval_metrics,calibrated_eval_metrics,weight_path
grid,28,14,14,0.7999999999999999,0.49999999999999994,0.3686210022688658,0.5181610118054149,0.3897022094981679,0.5383496334752574,0.020188621669842588,results/analysis/trainable_anomaly_map_calibration/MVTecAD/grid/training_log.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/grid/raw_eval_metrics.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/grid/calibrated_eval_metrics.csv,runs/analysis/trainable_anomaly_map_calibration/MVTecAD/grid/tiny_calibrator.pth
screw,60,30,30,0.85,0.44999999999999996,0.2899362469415336,0.41461248960609465,0.04922568093333668,0.09023423817038644,-0.3243782514357082,results/analysis/trainable_anomaly_map_calibration/MVTecAD/screw/training_log.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/screw/raw_eval_metrics.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/screw/calibrated_eval_metrics.csv,runs/analysis/trainable_anomaly_map_calibration/MVTecAD/screw/tiny_calibrator.pth
leather,46,23,23,0.9,0.7999999999999999,0.3570812868597288,0.5155601815015896,0.26171655918907555,0.40768127706430063,-0.10787890443728892,results/analysis/trainable_anomaly_map_calibration/MVTecAD/leather/training_log.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/leather/raw_eval_metrics.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/leather/calibrated_eval_metrics.csv,runs/analysis/trainable_anomaly_map_calibration/MVTecAD/leather/tiny_calibrator.pth
wood,30,15,15,0.7,0.5499999999999999,0.4557658355782312,0.6072694377452186,0.39264517248941105,0.5460664311197821,-0.06120300662543643,results/analysis/trainable_anomaly_map_calibration/MVTecAD/wood/training_log.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/wood/raw_eval_metrics.csv,results/analysis/trainable_anomaly_map_calibration/MVTecAD/wood/calibrated_eval_metrics.csv,runs/analysis/trainable_anomaly_map_calibration/MVTecAD/wood/tiny_calibrator.pth
MEAN,164,82,82,,,0.36785109291208984,0.5139007801645794,0.2733224055274978,0.3955828949574317,-0.11831788520714774,,,,
