variant,mean,std,minimum,maximum
full,0.6982449638104399,0.004830992979786821,0.6926785141666094,0.7013435803614374
map,0.7313591723165137,0.0013199681830993182,0.7298407544836116,0.7322329302091207
percentile,0.697318157481848,0.001808012722236437,0.6955827048833001,0.6991909027920933
robust,0.6868452309374927,0.024089539053250716,0.666945081483772,0.7136266434183101
