method,auroc,ap
D512,0.7314441466822419,0.829981092010138
full_123,0.7013435803614374,0.8126191081919767
full_2026,0.6926785141666094,0.809677620441976
full_42,0.7007127969032731,0.8137305433843767
map_123,0.7298407544836116,0.8257188802067937
map_2026,0.7320038322568085,0.8263975806485931
map_42,0.7322329302091207,0.8271096610791082
percentile_123,0.6955827048833001,0.8088697630157744
percentile_2026,0.6991909027920933,0.8121039651960744
percentile_42,0.6971808647701505,0.8099793609038499
robust_123,0.6799639679103965,0.8071034025242729
robust_2026,0.7136266434183101,0.8208253541876751
robust_42,0.666945081483772,0.7952453356164761
