configuration,global_branch,tiled_branch,q99_calibration,all,tiny_le_0.1pct,small_0.1_to_1pct,large_gt_1pct
Global only,1,0,0,0.5697546763660257,0.5433157874948767,0.7671372875663679,0.6429614739616921
Tiled only,0,1,0,0.5797526114484419,0.5611720895252841,0.7870139623167915,0.6539818834846605
Raw mean,1,1,0,0.6019606815977983,0.5824951361614452,0.7909398964656954,0.6613660184443422
A69 q99 mean,1,1,1,0.6024190456874704,0.5828864975968335,0.7900988664074239,0.6594820985181141
