size_band,category,global,tiled,raw_mean,q99_mean
all,can,0.16674041326390102,0.0915088675236498,0.14355795971834484,0.15142601325090993
all,fabric,0.5664662589011488,0.5510136340914272,0.5882233547191212,0.5882799341194458
all,fruit_jelly,0.5600447144993959,0.569355872309241,0.573790424235439,0.5736263817648989
all,rice,0.6942968454793995,0.7392379964312511,0.736147613855808,0.7350659934346297
all,sheet_metal,0.5974826725032212,0.656870171861576,0.7223106747045116,0.7190260692307023
all,vial,0.7750248824638766,0.7232293461605591,0.7616424637814582,0.7633111155062563
all,wallplugs,0.5363035734548051,0.6093621808153075,0.5925530516396146,0.5912287011163564
all,walnuts,0.6616780503624573,0.6974428223945232,0.6974599101280891,0.6973881570765638
tiny_le_0.1pct,can,0.16674041326390102,0.0915088675236498,0.14355795971834484,0.15142601325090993
tiny_le_0.1pct,fabric,0.5567946479904121,0.5401821970185399,0.5793164501065603,0.5793777441072753
tiny_le_0.1pct,fruit_jelly,0.5111496117951142,0.5296120405554781,0.5305244354069827,0.5302367293498893
tiny_le_0.1pct,rice,0.5056321556046869,0.6151364820703434,0.5799270788297187,0.5774471564343164
tiny_le_0.1pct,sheet_metal,0.5824539445239886,0.6406703578466665,0.7119720128519114,0.709136067372421
tiny_le_0.1pct,vial,0.8562781770849442,0.7850325372891974,0.8391770913195484,0.8414592535451929
tiny_le_0.1pct,wallplugs,0.5602985794859249,0.6403672097276764,0.62485784658161,0.6234544107698237
tiny_le_0.1pct,walnuts,0.607178770210042,0.6468670241707203,0.6506282144768853,0.6505546059448398
small_0.1_to_1pct,fabric,0.9976467647225732,0.9969147491759083,0.9973184098875695,0.997320844388617
small_0.1_to_1pct,fruit_jelly,0.776827595104671,0.7790782331177336,0.7832466180044663,0.7831681173283024
small_0.1_to_1pct,rice,0.8343555575356844,0.825643051876504,0.8510199424404843,0.8510902170647144
small_0.1_to_1pct,sheet_metal,0.903893928757908,0.9357921419727199,0.9585616875391442,0.9535294350530782
small_0.1_to_1pct,vial,0.8979721853687038,0.859497830092845,0.8904292033140315,0.8915899299092791
small_0.1_to_1pct,wallplugs,0.2717011336859903,0.3675891400719604,0.32305346840158194,0.3211687427988578
small_0.1_to_1pct,walnuts,0.6875638477890441,0.7445825899098694,0.7329499456725898,0.7328247783091184
large_gt_1pct,fabric,0.42543408040211844,0.4300556311937578,0.4463354379278141,0.44630472421568473
large_gt_1pct,fruit_jelly,0.529755471944918,0.49686010974718864,0.5218015121565768,0.5222219161886692
large_gt_1pct,rice,0.9916919337893378,0.9921010712272941,0.9934091432441731,0.9933932901370515
large_gt_1pct,sheet_metal,0.5031512752772398,0.6579198151536245,0.6064924829501033,0.591224401696835
large_gt_1pct,vial,0.5030288590956934,0.4513412153816193,0.4848078493768307,0.4865962774488165
large_gt_1pct,wallplugs,0.8132322029524751,0.8169965973684903,0.8352784517867087,0.8351900903253048
large_gt_1pct,walnuts,0.7344364942700631,0.7325987443206484,0.7414372516681889,0.7414439896144372
