category,metric,efficientad30_value,efficientad100_value,delta_100_minus_30,status
fruit_jelly,image_AUROC,0.8433333039283752,0.8266666531562805,-0.016666650772094727,ok
fruit_jelly,image_F1Score,0.8571428656578064,0.84375,-0.013392865657806396,ok
fruit_jelly,pixel_AUROC,0.7893707156181335,0.8424254655838013,0.053054749965667725,ok
fruit_jelly,pixel_F1Score,0.5394811034202576,0.5561066269874573,0.016625523567199707,ok
sheet_metal,image_AUROC,0.7333333492279053,0.7083333134651184,-0.025000035762786865,ok
sheet_metal,image_F1Score,0.8842105269432068,0.8823529481887817,-0.0018575787544250488,ok
sheet_metal,pixel_AUROC,0.7509881854057312,0.7777146697044373,0.026726484298706055,ok
sheet_metal,pixel_F1Score,0.2994703650474548,0.29560014605522156,-0.003870218992233221,ok
vial,image_AUROC,0.909853219985962,0.9035639762878418,-0.006289243698120228,ok
vial,image_F1Score,0.8990825414657593,0.9444444179534912,0.045361876487731934,ok
vial,pixel_AUROC,0.9281267523765564,0.9423906803131104,0.014263927936553955,ok
vial,pixel_F1Score,0.3604857921600342,0.40549859404563904,0.04501280188560486,ok
walnuts,image_AUROC,0.5551851987838745,0.6240740418434143,0.0688888430595398,ok
walnuts,image_F1Score,0.7288135886192322,0.7636363506317139,0.03482276201248169,ok
walnuts,pixel_AUROC,0.7686794996261597,0.7760066986083984,0.0073271989822387695,ok
walnuts,pixel_F1Score,0.0422395654022693,0.061979860067367554,0.019740294665098253,ok
