comparison,variant_a,variant_b,mean_image_auroc_a,mean_image_auroc_b,delta_a_minus_b
Quality-Calibrated QCR vs naive fusion,V4,V3,0.8191194968553459,0.828633822501747,-0.00951432564640109
Adaptive refinement vs Quality-Calibrated QCR,V6,V4,0.8193815513626834,0.8191194968553459,0.0002620545073375169
Adaptive refinement vs naive fusion,V6,V3,0.8193815513626834,0.828633822501747,-0.009252271139063573
Fixed Q+C diagnostic vs Quality-Calibrated QCR,V5,V4,0.8225960866526904,0.8191194968553459,0.0034765897973444426
Quality-Calibrated QCR vs detector only,V4,V0,0.8191194968553459,0.7853284416491964,0.033791055206149556
Quality-Calibrated QCR vs crop top-k VLM,V4,V2,0.8191194968553459,0.6524318658280923,0.1666876310272536
