variant_id,method,score_col,paper_role,num_categories,mean_image_auroc,std_image_auroc,mean_average_precision,mean_best_f1,mean_best_accuracy
V0,Detector only,V0_detector_only,baseline_detector,4,0.7853284416491964,0.059890749716779615,0.9185660201693959,0.8716937960005001,0.7940020385470719
V1,Full-image VLM,V1_full_image_vlm,baseline_vlm,4,0.6458892382948987,0.12703711405039209,0.8260501575650591,0.8534824046920821,0.7552600691870521
V2,Crop top-k VLM,V2_crop_topk_vlm,baseline_crop_vlm,4,0.6524318658280923,0.12531447558946213,0.8318405863536735,0.8446850183754094,0.743571472695824
V3,Naive detector-crop fusion,V3_naive_detector_crop_fusion,fusion_baseline,4,0.828633822501747,0.07141701887597775,0.9327468734754234,0.8740540128166006,0.8002835433654558
V4,Quality-Calibrated QCR,V4_quality_calibrated_qcr,main_method_core,4,0.8191194968553459,0.11037862614465996,0.9293163303439033,0.881053901850362,0.8141802569804794
V5,Fixed Q+C fusion,V5_fixed_qc_diagnostic,diagnostic_not_final,4,0.8225960866526904,0.092465517470506,0.9310461174119855,0.8753305364861428,0.8027520385470719
V6,Quality-Calibrated QCR + adaptive refinement,V6_adaptive_qcr_refinement,final_refinement,4,0.8193815513626834,0.1106841416085781,0.9293957408006722,0.881053901850362,0.8141802569804794
