category,epoch,loss,bce,dice,identity,residual_l1,normal_fp
leather,1,1.669656753540039,0.3209046721458435,0.8969976902008057,0.0,0.0,0.45175427198410034
leather,50,1.6541143655776978,0.3115612864494324,0.8978114128112793,3.4043947380268946e-05,0.003673989325761795,0.44287052750587463
leather,100,1.6413500308990479,0.30468350648880005,0.8984631299972534,0.00012276205234229565,0.006870097480714321,0.43464550375938416
leather,150,1.6285556554794312,0.29830116033554077,0.8987024426460266,0.0002646386856213212,0.010206352919340134,0.42618414759635925
