defect_type,support,tp,fp,fn,precision,recall,f1,strategy,image_mode,category
bent,12,0,0,12,0.0,0.0,0.0,generic_label,full,grid
broken,12,0,0,12,0.0,0.0,0.0,generic_label,full,grid
glue,11,0,0,11,0.0,0.0,0.0,generic_label,full,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,generic_label,full,grid
thread,11,11,46,0,0.19298245614035087,1.0,0.3235294117647059,generic_label,full,grid
color,19,0,0,19,0.0,0.0,0.0,generic_label,full,leather
cut,19,1,6,18,0.14285714285714285,0.05263157894736842,0.07692307692307693,generic_label,full,leather
fold,17,13,1,4,0.9285714285714286,0.7647058823529411,0.8387096774193549,generic_label,full,leather
glue,19,17,54,2,0.23943661971830985,0.8947368421052632,0.37777777777777777,generic_label,full,leather
poke,18,0,0,18,0.0,0.0,0.0,generic_label,full,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,generic_label,full,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,generic_label,full,screw
scratch_neck,25,11,24,14,0.3142857142857143,0.44,0.36666666666666664,generic_label,full,screw
thread_side,23,16,68,7,0.19047619047619047,0.6956521739130435,0.29906542056074764,generic_label,full,screw
thread_top,23,0,0,23,0.0,0.0,0.0,generic_label,full,screw
color,8,0,0,8,0.0,0.0,0.0,generic_label,full,wood
combined,11,0,0,11,0.0,0.0,0.0,generic_label,full,wood
hole,10,2,5,8,0.2857142857142857,0.2,0.23529411764705882,generic_label,full,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic_label,full,wood
scratch,21,21,32,0,0.39622641509433965,1.0,0.5675675675675675,generic_label,full,wood
bent,12,0,14,12,0.0,0.0,0.0,generic_label,gt_crop,grid
broken,12,0,0,12,0.0,0.0,0.0,generic_label,gt_crop,grid
glue,11,0,0,11,0.0,0.0,0.0,generic_label,gt_crop,grid
metal_contamination,11,4,5,7,0.4444444444444444,0.36363636363636365,0.4,generic_label,gt_crop,grid
thread,11,10,24,1,0.29411764705882354,0.9090909090909091,0.4444444444444444,generic_label,gt_crop,grid
color,19,2,1,17,0.6666666666666666,0.10526315789473684,0.18181818181818182,generic_label,gt_crop,leather
cut,19,2,22,17,0.08333333333333333,0.10526315789473684,0.09302325581395349,generic_label,gt_crop,leather
fold,17,15,46,2,0.2459016393442623,0.8823529411764706,0.38461538461538464,generic_label,gt_crop,leather
glue,19,3,1,16,0.75,0.15789473684210525,0.2608695652173913,generic_label,gt_crop,leather
poke,18,0,0,18,0.0,0.0,0.0,generic_label,gt_crop,leather
manipulated_front,24,9,16,15,0.36,0.375,0.3673469387755102,generic_label,gt_crop,screw
scratch_head,24,6,27,18,0.18181818181818182,0.25,0.21052631578947367,generic_label,gt_crop,screw
scratch_neck,25,0,0,25,0.0,0.0,0.0,generic_label,gt_crop,screw
thread_side,23,13,48,10,0.21311475409836064,0.5652173913043478,0.30952380952380953,generic_label,gt_crop,screw
thread_top,23,0,0,23,0.0,0.0,0.0,generic_label,gt_crop,screw
color,8,1,0,7,1.0,0.125,0.2222222222222222,generic_label,gt_crop,wood
combined,11,0,0,11,0.0,0.0,0.0,generic_label,gt_crop,wood
hole,10,5,7,5,0.4166666666666667,0.5,0.45454545454545453,generic_label,gt_crop,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic_label,gt_crop,wood
scratch,21,21,26,0,0.44680851063829785,1.0,0.6176470588235294,generic_label,gt_crop,wood
bent,12,0,0,12,0.0,0.0,0.0,short_visual,full,grid
broken,12,0,0,12,0.0,0.0,0.0,short_visual,full,grid
glue,11,0,0,11,0.0,0.0,0.0,short_visual,full,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,short_visual,full,grid
thread,11,11,46,0,0.19298245614035087,1.0,0.3235294117647059,short_visual,full,grid
color,19,19,33,0,0.36538461538461536,1.0,0.5352112676056338,short_visual,full,leather
cut,19,7,30,12,0.1891891891891892,0.3684210526315789,0.25,short_visual,full,leather
fold,17,0,0,17,0.0,0.0,0.0,short_visual,full,leather
glue,19,0,0,19,0.0,0.0,0.0,short_visual,full,leather
poke,18,0,3,18,0.0,0.0,0.0,short_visual,full,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,short_visual,full,screw
scratch_head,24,21,90,3,0.1891891891891892,0.875,0.3111111111111111,short_visual,full,screw
scratch_neck,25,4,4,21,0.5,0.16,0.24242424242424243,short_visual,full,screw
thread_side,23,0,0,23,0.0,0.0,0.0,short_visual,full,screw
thread_top,23,0,0,23,0.0,0.0,0.0,short_visual,full,screw
color,8,5,9,3,0.35714285714285715,0.625,0.45454545454545453,short_visual,full,wood
combined,11,1,1,10,0.5,0.09090909090909091,0.15384615384615385,short_visual,full,wood
hole,10,1,0,9,1.0,0.1,0.18181818181818182,short_visual,full,wood
liquid,10,1,1,9,0.5,0.1,0.16666666666666666,short_visual,full,wood
scratch,21,18,23,3,0.43902439024390244,0.8571428571428571,0.5806451612903226,short_visual,full,wood
bent,12,0,10,12,0.0,0.0,0.0,short_visual,gt_crop,grid
broken,12,0,0,12,0.0,0.0,0.0,short_visual,gt_crop,grid
glue,11,1,0,10,1.0,0.09090909090909091,0.16666666666666666,short_visual,gt_crop,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,short_visual,gt_crop,grid
