method,baseline,delta_macro_auroc,lower95,upper95,categories_improved
full_42,D512,-0.030731349778968825,-0.06811016736239951,0.006300212119780539,2
full_42,linear_convex,0.00393805544103163,-0.02528668147604159,0.0355711619454179,3
full_42,map_42,-0.03152013330584759,-0.0684625592661307,0.004736746897833172,2
full_123,D512,-0.03010056632080442,-0.06544924460735473,0.005184614891832138,3
full_123,linear_convex,0.004568838899196041,-0.023485666973018158,0.035581223051089114,3
full_123,map_123,-0.02849717412217412,-0.06249242871601502,0.00541855326937172,3
full_2026,D512,-0.03876563251563252,-0.07625751849561373,-0.0019480209908037496,2
full_2026,linear_convex,-0.00409622729563206,-0.037695091683558946,0.03164668689445472,3
full_2026,map_2026,-0.03932531809019904,-0.0785692519010971,-0.0007863931978515278,2
