variant,mean,std,minimum,maximum
response,0.7335777631759774,0.0,0.7335777631759774,0.7335777631759774
map,0.7313591723165137,0.0013199681830993182,0.7298407544836116,0.7322329302091207
full,0.6982449638104399,0.004830992979786821,0.6926785141666094,0.7013435803614374
